mountain_no,mountain_name,assignment_status,review_category,proposed_lat,proposed_lon,proposed_ele_m,proposed_coordinate_source,proposed_summit_candidate_id,source_gpx_basename,distance_gemini_to_gpx_candidate_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
234,石鎚山,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,129.4,,452.1,0.7705,true,csv_elevation_mismatch;name_mismatch,
239,東赤石山,assigned,manual_review_required,33.8754953,133.3399899,1621.9866666666667,gpx_summit_candidate,summit-candidate:5104c47f17101d63,yamap_2022-10-08_06_12.gpx,671.1,,88,0.7455,true,gpx_distant_support,
248,瀬戸黒森,assigned,manual_review_required,33.0409924,132.624637,864.3133333333334,gpx_summit_candidate,summit-candidate:f7593239fa7bdcc9,yamap_2023-11-19_06_46.gpx,698.2,,111.7,0.726,true,gpx_distant_support,
258,御串山,assigned,manual_review_required,34.2470088,132.9890515,62.803333333333335,gpx_summit_candidate,summit-candidate:02d59cd1260af017,yamap_2024-01-27_10_11.gpx,798.3,,3.2,0.716,true,gpx_distant_support,
266,郭公岳,assigned,manual_review_required,33.1812975,132.6194355,1167.5519282683324,gpx_summit_candidate,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,259.5,,-157.6,0.726,true,name_mismatch,
267,東高月山,assigned,manual_review_required,33.1727703,132.6401559,1160.4399999999998,gpx_summit_candidate,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,650.2,,20.6,0.597,true,name_mismatch;municipality_adjacent_warning;gpx_distant_support,
268,高月山,assigned,manual_review_required,33.1727703,132.6401559,1160.4399999999998,gpx_summit_candidate,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,586.4,,68.6,0.5955,true,name_mismatch;municipality_adjacent_warning;gpx_distant_support,
279,城山,assigned,manual_review_required,33.844404,132.7665578,129.4799661552467,gpx_summit_candidate,summit-candidate:91cacd7deced8470,yamap_2022-06-04_14_13.gpx,347.8,,114.5,0.6805,true,name_mismatch,
284,斎藤山,assigned,manual_review_required,33.5090382,132.5604,335.74500437341317,gpx_summit_candidate,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,841.8,,123.3,0.6125,true,name_mismatch;gpx_distant_support,
289,目黒鳥屋,assigned,manual_review_required,33.1850023,132.6371878,1201.04,gpx_summit_candidate,summit-candidate:12c27f259b66de80,yamap_2024-03-30_07_11.gpx,895,,-44,0.6925,true,municipality_adjacent_warning;gpx_distant_support,
290,長尾森,assigned,manual_review_required,33.1848651,132.6159575,1162.2731411431716,gpx_summit_candidate,summit-candidate:91ebf1d99654d5b2,yamap_2022-04-08_09_33.gpx,437.2,,17.7,0.647,true,name_mismatch;municipality_adjacent_warning,
295,五代ヶ森,assigned,manual_review_required,33.728215,133.1156537,1375.6266666666668,gpx_summit_candidate,summit-candidate:b73a23fa4b3abc39,yamap_2023-09-06_13_30.gpx,742.5,,335.4,0.616,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
311,子持権現山,assigned,manual_review_required,33.7942477,133.2060388,1850.4420465524036,gpx_summit_candidate,summit-candidate:f09a1f754bcb761e,yamap_2022-07-10_07_25.gpx,685.7,,-177.4,0.616,true,name_mismatch;gpx_distant_support,
323,二の森,assigned,manual_review_required,33.8209712,133.1775059,1361.2233333333334,gpx_summit_candidate,summit-candidate:a61fd78e4e062683,yamap_2023-10-22_06_44.gpx,809.6,,-321.2,0.5525,true,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,
341,秋葉山,assigned,manual_review_required,33.654334,132.6895797,694.3566666666667,gpx_summit_candidate,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,236.3,,-63.4,0.723,true,name_mismatch,
343,明神山,assigned,manual_review_required,33.654334,132.6895797,694.3566666666667,gpx_summit_candidate,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,406.8,,-60.4,0.6775,true,name_mismatch,
357,尉之山,assigned,manual_review_required,33.8778648,132.8306597,414.2866666666667,gpx_summit_candidate,summit-candidate:ea33d870d4700a56,yamap_2022-03-03_10_47.gpx,339.6,,-31.3,0.697,true,name_mismatch,
375,大頭山,assigned,manual_review_required,34.1283255,133.047895,268.5833333333333,gpx_summit_candidate,summit-candidate:d456af62868c5044,yamap_2025-03-10_08_18.gpx,137.5,,-4.6,0.7615,true,name_mismatch,
376,高取山,assigned,manual_review_required,34.140513,133.0475658,211.73666666666668,gpx_summit_candidate,summit-candidate:b9ae103da9e3136b,yamap_2025-02-09_12_21.gpx,999.1,,40.3,0.7015,true,gpx_distant_support,
396,高土の峰,assigned,manual_review_required,33.7134297,132.824108,731.4733333333334,gpx_summit_candidate,summit-candidate:02fa4cfab6fa90d3,yamap_2022-12-12_08_41.gpx,799,,62.5,0.622,true,name_mismatch;gpx_distant_support,
415,貝渚山,assigned,manual_review_required,33.4728129,132.9862432,1452.0633333333335,gpx_summit_candidate,summit-candidate:00dfcd8bd36a1f00,yamap_2025-08-15_11_47.gpx,394.1,,-30.1,0.6925,true,name_mismatch,
417,東黒森,assigned,manual_review_required,33.7826057,133.2367653,1731.0666666666668,gpx_summit_candidate,summit-candidate:20f1c44b99e3d708,yamap_2025-07-06_09_43.gpx,949.7,,1.9,0.7605,true,gpx_distant_support,
427,剣山,assigned,manual_review_required,33.7605415,133.1358584,1647.683322091346,gpx_summit_candidate,summit-candidate:65906dbbd6e5b747,yamap_2025-09-07_08_00.gpx,552.3,,-20.7,0.646,true,name_mismatch;gpx_distant_support,
429,別子山,assigned,manual_review_required,33.8295378,133.3706113,1446.9966666666667,gpx_summit_candidate,summit-candidate:b2662116bd1858b6,yamap_2025-10-05_08_42.gpx,671.4,,-73,0.632,true,name_mismatch;gpx_distant_support,
431,大座礼山,assigned,manual_review_required,33.8353414,133.4313475,1369.4399999999998,gpx_summit_candidate,summit-candidate:69652a1c97f3b2eb,yamap_2025-09-27_06_52.gpx,749.5,,217.6,0.6105,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
435,東ノ冠岳,assigned,manual_review_required,33.7513188,133.1115977,1519.8633333333335,gpx_summit_candidate,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,468.7,,400.1,0.6615,true,csv_elevation_mismatch;name_mismatch,
439,天満山,assigned,manual_review_required,33.8367026,133.4035972,1271.6466666666668,gpx_summit_candidate,summit-candidate:4b66146264e5e167,yamap_2025-09-27_06_52.gpx,678.5,,88.4,0.623,true,name_mismatch;gpx_distant_support,
445,梁瀬山,assigned,manual_review_required,33.5090382,132.5604,335.74500437341317,gpx_summit_candidate,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,671.9,,36.3,0.6515,true,name_mismatch;gpx_distant_support,
464,飯之山,assigned,manual_review_required,33.4692555,132.4112445,358.1833333333334,gpx_summit_candidate,summit-candidate:6756239601754708,yamap_2026-02-14_13_33.gpx,562.8,,-38.2,0.7425,true,gpx_distant_support,
474,塩塚峰,assigned,manual_review_required,33.9835402,133.681909,753.8057910293684,gpx_summit_candidate,summit-candidate:eb031d650d8e9a7a,yamap_2026-03-08_08_05.gpx,550.5,,289.2,0.6205,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
477,笠松山東峰,assigned,manual_review_required,33.9801287,133.0507842,98.37666666666667,gpx_summit_candidate,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,733.2,,228.6,0.5925,true,csv_elevation_mismatch;name_mismatch;gpx_distant_support,
480,権現山,assigned,manual_review_required,33.1828203,132.5956974,949.9166666666666,gpx_summit_candidate,summit-candidate:e8b129f70e703be5,yamap_2026-03-07_11_08.gpx,731.9,,2.1,0.766,true,gpx_distant_support,
497,面木山,assigned,manual_review_required,33.8233656,132.9413939,630.2399999999999,gpx_summit_candidate,summit-candidate:59c561a08189d6b9,yamap_2022-01-29_08_35.gpx,534.4,,357.8,0.557,true,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,
500,丸山,assigned,manual_review_required,33.8159575,133.3107033,1729.61,gpx_summit_candidate,summit-candidate:006436491de34784,yamap_2022-11-26_04_41.gpx,737.1,,-182.6,0.567,true,name_mismatch;municipality_adjacent_warning;gpx_distant_support,
518,笠松山,assigned,manual_review_required,33.6908158,132.9052102,950.8066666666667,gpx_summit_candidate,summit-candidate:be07cff01023e072,yamap_2023-04-09_09_08.gpx,996.5,996.5,-82.8,0.655,true,name_mismatch;gpx_distant_support,
