"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"99","鉢巻山","review_required_insufficient_evidence","true","summit-candidate:c4169cdcaf61f31a","0.448","","","usable","true","false","2841.1","grounding_contradicted_or_unrelated","","","","high","summit-candidate:50aa5073a99759cf","false","1","0","0","insufficient_support",""
"100","立石山","review_required_insufficient_evidence","true","summit-candidate:50aa5073a99759cf","0.736","","","usable","true","false","331.5","far_grounding_candidate","5.3","exact","mismatch","high","summit-candidate:50aa5073a99759cf","true","1","0","0","insufficient_support",""
"101","鷲ヶ頭山","review_required_insufficient_evidence","true","summit-candidate:159deb385560c198","0.736","summit-candidate:a92a94d8b5e0fb90","0.432","usable","true","false","363.8","far_grounding_candidate","0.9","exact","mismatch","high","summit-candidate:159deb385560c198","true","2","0","0","insufficient_support",""
"102","安神山","review_required_insufficient_evidence","true","summit-candidate:a92a94d8b5e0fb90","0.304","summit-candidate:159deb385560c198","0","usable","true","false","903.5","grounding_contradicted_or_unrelated","","","","medium","summit-candidate:a92a94d8b5e0fb90","true","2","0","0","insufficient_support",""
"104","横山(横山城址)","review_required_no_grounding","true","summit-candidate:43911aa413390192","0.63","summit-candidate:7749b785ef007c1a","0.41000000000000003","no_usable_coordinate","false","false","","grounding_unavailable","","","","medium","summit-candidate:43911aa413390192","true","18","0","0","no_usable_coordinate",""
"110","小富士","review_required_insufficient_evidence","true","summit-candidate:75832271d4e4d0ba","0.448","","","usable","true","false","1177.8","grounding_contradicted_or_unrelated","","","","high","summit-candidate:75832271d4e4d0ba","true","1","0","0","insufficient_support",""
"111","龍石山","review_required_no_grounding","true","summit-candidate:5f001ac124f82ef6","0.21","summit-candidate:40d5b4863907057a","0.06","no_usable_coordinate","false","false","","grounding_unavailable","","","","high","summit-candidate:75832271d4e4d0ba","false","8","0","0","no_usable_coordinate",""
"112","子持山","review_required_no_grounding","true","summit-candidate:93b30125fa1dcd57","0.38","summit-candidate:101c1b0635c0bec0","0.17","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:93b30125fa1dcd57","true","27","0","0","no_usable_coordinate",""
"113","大峰ヶ台","review_required_no_grounding","true","summit-candidate:8de328f982753d58","0.57","summit-candidate:1946316119cd7251","0.25999999999999995","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:8de328f982753d58","true","22","0","0","no_usable_coordinate",""
"115","笠松山","review_required_insufficient_evidence","true","summit-candidate:9d5a3bd31bedfeda","0.504","summit-candidate:d0f2d4ee46a862c3","0","usable","true","false","1293.2","grounding_contradicted_or_unrelated","","","","medium","summit-candidate:9d5a3bd31bedfeda","true","4","0","0","insufficient_support",""
"124","伊勢山","review_required_no_grounding","true","summit-candidate:bd145a45a7d01b99","0.56","summit-candidate:02d59cd1260af017","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:bd145a45a7d01b99","true","14","0","0","no_usable_coordinate",""
"125","久司山","review_required_no_grounding","true","summit-candidate:507809fc1a4b9e4e","0.56","summit-candidate:3c1e55e6cc05c0ad","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:507809fc1a4b9e4e","true","20","0","0","no_usable_coordinate",""
"127","古法皇山","review_required_no_grounding","true","summit-candidate:4d0f5f75da9165b8","0.56","summit-candidate:079ae30d76fb11c2","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:4d0f5f75da9165b8","true","28","0","0","no_usable_coordinate",""
"130","高文殊山","review_required_no_grounding","true","summit-candidate:3a1a951de82d4254","0.63","summit-candidate:8cef52d6989a94db","0.41000000000000003","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:3a1a951de82d4254","true","26","0","0","no_usable_coordinate",""
"131","三本榎","review_required_no_grounding","true","summit-candidate:8251283605282249","0.56","summit-candidate:0022a746b396d4c7","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:8251283605282249","true","27","0","0","no_usable_coordinate",""
"133","戸祇御前山","review_required_no_grounding","true","summit-candidate:7bda9ba8d2b47d6e","0.63","summit-candidate:c246a8edb72dbebb","0.35","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:7bda9ba8d2b47d6e","true","18","0","0","no_usable_coordinate",""
