"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"224","上兜山","review_required_stage21_stage23_disagreement","true","summit-candidate:473a62086144ac33","0.36","summit-candidate:339138a4e53293da","0","usable","true","false","4395.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:339138a4e53293da","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"245","高森","review_required_stage21_stage23_disagreement","true","summit-candidate:a61fd78e4e062683","0.448","summit-candidate:5771cdd191c3861d","0","usable","true","false","32734.4","grounding_contradicted_or_unrelated","","","","low","summit-candidate:5771cdd191c3861d","false","12","0","0","stage21_stage23_top_candidate_disagreement",""
"248","瀬戸黒森","review_required_stage21_stage23_disagreement","true","summit-candidate:290abf917754fd0b","0.504","summit-candidate:f7593239fa7bdcc9","0.14400000000000002","usable","true","false","2711.7","grounding_contradicted_or_unrelated","","","","low","summit-candidate:f7593239fa7bdcc9","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"266","郭公岳","review_required_stage21_stage23_disagreement","true","summit-candidate:27c1036d4aa2230e","0.46","summit-candidate:3853fbbba7330ec4","0.01200000000000001","usable","true","false","259.5","far_grounding_candidate","157.6","exact","exact","deprioritized","summit-candidate:3853fbbba7330ec4","false","6","0","0","stage21_stage23_top_candidate_disagreement",""
"269","櫨ヶ森","review_required_stage21_stage23_disagreement","true","summit-candidate:ba56c1ac8ac55c5f","0.504","summit-candidate:f7e5fd7b11eb7bd4","0.04799999999999999","usable","true","false","3159.1","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:f7e5fd7b11eb7bd4","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"279","城山","review_required_stage21_stage23_disagreement","true","summit-candidate:d19542a61a416537","0.504","summit-candidate:1432f597b5dca157","0","usable","true","false","5173.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:1432f597b5dca157","false","29","0","0","stage21_stage23_top_candidate_disagreement",""
"290","長尾森","review_required_stage21_stage23_disagreement","true","summit-candidate:91ebf1d99654d5b2","0.49","summit-candidate:9186201ca03b041d","0.033999999999999975","usable","true","false","437.2","far_grounding_candidate","17.7","exact","exact","deprioritized","summit-candidate:9186201ca03b041d","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"309","平家平","review_required_stage21_stage23_disagreement","true","summit-candidate:c256cfef3720557f","0.448","summit-candidate:dc647fe1827a43e3","0","usable","true","false","7866.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:006436491de34784","false","7","0","0","stage21_stage23_top_candidate_disagreement",""
"320","銅山峰","review_required_stage21_stage23_disagreement","true","summit-candidate:0dea5d073885dc9d","0.36","summit-candidate:057580d1c60049b6","0","usable","true","false","2996.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:006436491de34784","false","8","0","0","stage21_stage23_top_candidate_disagreement",""
"331","五郎丸","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","13445.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"332","高丸","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","13551","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"333","金見山","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0.04799999999999999","usable","true","false","13635.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"334","木峰","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","14473.1","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"335","天狗森","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.36","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","14781.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"337","龍王山","review_required_stage21_stage23_disagreement","true","summit-candidate:9cc74b44e1289236","0.36","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","15975.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"341","秋葉山","review_required_stage21_stage23_disagreement","true","summit-candidate:61304308f9a58d0d","0.6","summit-candidate:23316af255d30882","0.09599999999999997","usable","true","false","236.3","weak_grounding_nearby","63.4","exact","exact","deprioritized","summit-candidate:0bd3d051cdb972fd","false","4","0","1","stage21_stage23_top_candidate_disagreement",""
"343","明神山","review_required_stage21_stage23_disagreement","true","summit-candidate:23316af255d30882","0.504","summit-candidate:0bd3d051cdb972fd","0","usable","true","false","4753.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:0bd3d051cdb972fd","false","10","0","0","stage21_stage23_top_candidate_disagreement",""
"355","足山","review_required_stage21_stage23_disagreement","true","summit-candidate:9306f5a7fe249a15","0.456","summit-candidate:0048d4d3a7981b80","0","usable","true","false","4098.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:0048d4d3a7981b80","false","13","0","0","stage21_stage23_top_candidate_disagreement",""
"410","丸石山","review_required_stage21_stage23_disagreement","true","summit-candidate:0cc9c1186612ceaa","0.4","summit-candidate:422a9e74717ca96d","0","usable","true","false","16980.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:422a9e74717ca96d","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"435","東ノ冠岳","review_required_stage21_stage23_disagreement","true","summit-candidate:22e40e9eb117a033","0.46","summit-candidate:b73a23fa4b3abc39","0.15600000000000003","usable","true","false","468.7","far_grounding_candidate","400.1","exact","exact","deprioritized","summit-candidate:b73a23fa4b3abc39","false","2","0","0","stage21_stage23_top_candidate_disagreement",""
"472","剣ノ山","review_required_stage21_stage23_disagreement","true","summit-candidate:7a53852cc6c3e971","0.448","summit-candidate:740ae36ed8c63d60","0","usable","true","false","11435.2","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:78274ad93e160452","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"499","台ヶ森","review_required_stage21_stage23_disagreement","true","summit-candidate:7a5ca8d918f43720","0.36","summit-candidate:c9e357d000632346","0","usable","true","false","3205.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:53a6401abf71c488","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"500","丸山","review_required_stage21_stage23_disagreement","true","summit-candidate:453327d51d16e202","0.36","summit-candidate:b87c90ebd1eb0d06","0","usable","true","false","3102.8","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:b87c90ebd1eb0d06","false","6","0","0","stage21_stage23_top_candidate_disagreement",""
"511","秋葉山","review_required_stage21_stage23_disagreement","true","summit-candidate:f12898f5821b63b8","0.32","summit-candidate:23316af255d30882","0","usable","true","false","11905.5","grounding_contradicted_or_unrelated","","","","low","summit-candidate:0bd3d051cdb972fd","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"512","黒山","review_required_stage21_stage23_disagreement","true","summit-candidate:99b1b356cad63b98","0.32","summit-candidate:64a47ed9c06f56d5","0","usable","true","false","50968.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:71b10e23075edf20","false","10","0","0","stage21_stage23_top_candidate_disagreement",""
"513","大野山","review_required_stage21_stage23_disagreement","true","summit-candidate:53bf856dccad5eab","0.32","summit-candidate:8326f30918c16cbe","0","usable","true","false","95296.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:17a471cc45af2c05","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
