"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"357","尉之山","review_required_stage21_supported_candidate_missing","true","summit-candidate:ea33d870d4700a56","0.496","summit-candidate:12f30719aca26806","0.03999999999999998","usable","true","false","339.6","far_grounding_candidate","31.3","exact","exact","deprioritized","summit-candidate:2b833dfb6f3f84c1","false","3","0","0","stage21_supported_candidate_missing",""
"367","西の山","review_required_stage21_supported_candidate_missing","true","summit-candidate:a14a745323a3d3af","0.504","","","usable","true","false","4188.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:8cef52d6989a94db","false","1","0","0","stage21_supported_candidate_missing",""
"372","亀老山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","mismatch","deprioritized","summit-candidate:40260be41579ab8f","false","1","0","0","stage21_supported_candidate_missing",""
"376","高取山","review_required_stage21_supported_candidate_missing","true","summit-candidate:86e4db352b85ced4","0.4","","","usable","true","false","3319","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:afc2e407c1d6b464","false","1","0","0","stage21_supported_candidate_missing",""
"398","岳山","review_required_stage21_supported_candidate_missing","true","summit-candidate:b02ff952b74ca472","0.4","summit-candidate:80fb4ff56016a4dd","0.09600000000000003","usable","true","false","13863","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5f3f2f47d84464c4","false","3","0","0","stage21_supported_candidate_missing",""
"400","愛の森","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:62d2811f5d1a9f29","false","1","0","0","stage21_supported_candidate_missing",""
"403","船山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2a670286f545beb2","false","1","0","0","stage21_supported_candidate_missing",""
"439","天満山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:69652a1c97f3b2eb","false","1","0","0","stage21_supported_candidate_missing",""
"471","花見山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:5f001ac124f82ef6","false","1","0","0","stage21_supported_candidate_missing",""
"479","四本松","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:e8b129f70e703be5","false","1","0","0","stage21_supported_candidate_missing",""
"491","笹峠山","review_required_stage21_supported_candidate_missing","true","summit-candidate:05007aaf499a4ecc","0.4","","","usable","true","false","5852.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:118b217506eb653f","false","1","0","0","stage21_supported_candidate_missing",""
"502","うつむき山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:6b0155a434d72d79","false","1","0","0","stage21_supported_candidate_missing",""
"503","妙見山","review_required_stage21_supported_candidate_missing","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:6b0155a434d72d79","false","1","0","0","stage21_supported_candidate_missing",""
