mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
478,尻割山,summit-candidate:f59e1ba73617c383,yamap_2025-04-06_08_48.gpx,加塚山,1005.7346655272108,980,25.73,0.34,3,4,0.01,false,false,low,medium,low,low_priority,location_uncertain_keep,宇和島市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,"mountain=尻割山(#478); candidate=summit-candidate:f59e1ba73617c383; track=""加塚山""; score=0.34; name_tier=none; ele_diff=25.73m; loc=strong_overlap; act_conf=high"
479,四本松,summit-candidate:e8b129f70e703be5,yamap_2026-03-07_11_08.gpx,権現山,949.9166666666666,721,228.92,0.67,1,4,0.34,false,false,medium,high,high,resolve_conflict,location_strong_match,宇和島市,,same_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=四本松(#479); candidate=summit-candidate:e8b129f70e703be5; track=""権現山""; score=0.57; name_tier=strong; ele_diff=228.92m; loc=strong_overlap; act_conf=high"
479,四本松,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,721,1.75,0.33,2,18,0.05,false,false,low,high,high,resolve_conflict,location_uncertain_keep,宇和島市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,top_candidate_for_multiple_mountains,shared_candidate,"mountain=四本松(#479); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.33; name_tier=none; ele_diff=1.75m; loc=mismatch_warning; act_conf=high"
479,四本松,summit-candidate:9a0532ee2b40e5f3,yamap_2023-11-19_06_46.gpx,瀬戸黒森・三森・羽子山・観音森,725.5,721,4.5,0.28,3,6,0.01,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,宇和島市,,adjacent_municipality,愛南町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=四本松(#479); candidate=summit-candidate:9a0532ee2b40e5f3; track=""瀬戸黒森・三森・羽子山・観音森""; score=0.33; name_tier=none; ele_diff=4.5m; loc=mismatch_warning; act_conf=high"
480,権現山,summit-candidate:e8b129f70e703be5,yamap_2026-03-07_11_08.gpx,権現山,949.9166666666666,952,2.08,0.85,1,1,0.18,true,true,medium,medium,high,resolve_conflict,location_strong_match,宇和島市,,same_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains|priority_reduced_strong_match_mutual_top1,shared_candidate,"mountain=権現山(#480); candidate=summit-candidate:e8b129f70e703be5; track=""権現山""; score=0.75; name_tier=strong; ele_diff=2.08m; loc=strong_overlap; act_conf=high"
480,権現山,summit-candidate:84f974876f397da1,yamap_2024-02-10_13_09.gpx,権現山,498.7563056512352,952,453.24,0.67,2,4,0,false,false,medium,medium,low,low_priority,location_strong_match,宇和島市,,same_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=権現山(#480); candidate=summit-candidate:84f974876f397da1; track=""権現山""; score=0.57; name_tier=strong; ele_diff=453.24m; loc=strong_overlap; act_conf=high"
480,権現山,summit-candidate:ef3e845b5d632dd3,yamap_2024-02-10_09_58.gpx,熊ガ峰,340.53999999999996,952,611.46,0.67,3,4,0,false,false,medium,medium,low,low_priority,location_strong_match,宇和島市,,same_municipality,宇和島市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=権現山(#480); candidate=summit-candidate:ef3e845b5d632dd3; track=""熊ガ峰""; score=0.57; name_tier=strong; ele_diff=611.46m; loc=strong_overlap; act_conf=high"
481,呉石山,summit-candidate:784df3690acb5365,yamap_2026-03-08_07_27.gpx,呉石山,833.5256703454279,826,7.53,0.85,1,1,0.18,true,true,medium,medium,medium,accept_candidate_after_map_check,location_strong_match,四国中央市,,same_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|priority_reduced_strong_match_mutual_top1,clear_mutual_top1,"mountain=呉石山(#481); candidate=summit-candidate:784df3690acb5365; track=""呉石山""; score=0.75; name_tier=strong; ele_diff=7.53m; loc=strong_overlap; act_conf=high"
481,呉石山,summit-candidate:ab39145b6a448b8d,yamap_2026-03-08_10_45.gpx,白木山,617.3566666666667,826,208.64,0.67,2,2,0.07,false,true,medium,medium,low,low_priority,location_strong_match,四国中央市,,same_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=呉石山(#481); candidate=summit-candidate:ab39145b6a448b8d; track=""白木山""; score=0.57; name_tier=strong; ele_diff=208.64m; loc=strong_overlap; act_conf=high"
481,呉石山,summit-candidate:eb031d650d8e9a7a,yamap_2026-03-08_08_05.gpx,峰畑山,753.8057910293684,826,72.19,0.6,3,2,0.16,false,true,low,medium,low,low_priority,location_strong_match,四国中央市,,same_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=呉石山(#481); candidate=summit-candidate:eb031d650d8e9a7a; track=""峰畑山""; score=0.5; name_tier=strong; ele_diff=72.19m; loc=mismatch_warning; act_conf=high"
482,峰畑山,summit-candidate:eb031d650d8e9a7a,yamap_2026-03-08_08_05.gpx,峰畑山,753.8057910293684,747,6.81,0.78,1,1,0.11,true,true,medium,medium,medium,accept_candidate_after_map_check,location_strong_match,四国中央市,,same_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_1_but_ambiguous|priority_reduced_strong_match_mutual_top1,clear_mutual_top1,"mountain=峰畑山(#482); candidate=summit-candidate:eb031d650d8e9a7a; track=""峰畑山""; score=0.68; name_tier=strong; ele_diff=6.81m; loc=mismatch_warning; act_conf=high"
482,峰畑山,summit-candidate:784df3690acb5365,yamap_2026-03-08_07_27.gpx,呉石山,833.5256703454279,747,86.53,0.67,2,2,0,false,true,medium,medium,low,low_priority,location_strong_match,四国中央市,,same_municipality,四国中央市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=峰畑山(#482); candidate=summit-candidate:784df3690acb5365; track=""呉石山""; score=0.57; name_tier=strong; ele_diff=86.53m; loc=strong_overlap; act_conf=high"
