summit_candidate_id,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,top1_mountain_count,top3_mountain_count,top1_mountain_nos,top1_mountain_names,top3_mountain_nos,top3_mountain_names,max_score,score_spread,suggested_review_bucket,notes
summit-candidate:846b096132c533d6,yamap_2022-07-02_07_43.gpx,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,33.7578996,133.086527,1879.8966666666665,3,5,105|107|108,鞍瀬ノ頭|面河の頭|西ノ冠岳,105|106|107|108|238,鞍瀬ノ頭|二ノ森|面河の頭|西ノ冠岳|冠岳,0.68,0.41,resolve_conflict,top1_count=3; top3_count=5; max_score=0.68
summit-candidate:4a22801b12460992,yamap_2026-01-25_07_43.gpx,船ヶ迫岳・鎌倉山,33.6034415,132.6564373,676.61,3,4,455|456|510,船ヶ迫岳|鎌倉山|水無権現,455|456|475|510,船ヶ迫岳|鎌倉山|登議城山|水無権現,0.85,0.78,resolve_conflict,top1_count=3; top3_count=4; max_score=0.85
summit-candidate:9669b668bebfc145,yamap_2023-04-18_10_53.gpx,黒滝山・木久ヶ森,33.9017492,132.9949732,811.0092135228584,3,4,230|231|515,木久ヶ森|黒滝山|星ヶ森,229|230|231|515,船野山|木久ヶ森|黒滝山|星ヶ森,0.85,0.78,resolve_conflict,top1_count=3; top3_count=4; max_score=0.85
summit-candidate:b87c90ebd1eb0d06,yamap_2026-05-06_07_28.gpx,丸山・ちち山・笹ヶ峰,33.8280769,133.2743948,1856.6633333333332,3,4,120|121|500,ちち山|笹ヶ峰|丸山,109|120|121|500,西黒森|ちち山|笹ヶ峰|丸山,0.85,0.47,resolve_conflict,top1_count=3; top3_count=4; max_score=0.85
summit-candidate:e8b129f70e703be5,yamap_2026-03-07_11_08.gpx,権現山,33.1828203,132.5956974,949.9166666666666,3,4,478|479|480,尻割山|四本松|権現山,263|478|479|480,権現山|尻割山|四本松|権現山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=4; max_score=0.85
summit-candidate:090f7fa4be89ec5e,yamap_2025-01-26_07_09.gpx,天が森・浄心山・銅が鳴,33.5225161,132.4288807,782.4408357907463,3,3,363|364|365,天が森|浄心山|銅が鳴,363|364|365,天が森|浄心山|銅が鳴,0.85,0.78,resolve_conflict,top1_count=3; top3_count=3; max_score=0.85
summit-candidate:53a6401abf71c488,yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,33.7946359,133.1931324,1892.1433333333334,3,3,312|313|499,男山|瓶ヶ森|台ヶ森,312|313|499,男山|瓶ヶ森|台ヶ森,0.85,0.53,resolve_conflict,top1_count=3; top3_count=3; max_score=0.85
summit-candidate:23c112538ef91e0d,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,33.8831745,132.7109537,195.95000000000002,2,9,32|33,岩子山|経ヶ森,31|32|33|34|122|135|169|314|447,西山|岩子山|経ヶ森|護摩ヶ森|松軒山|雌甲山|扇山|宅並山|峠ヶ森,0.85,0.58,resolve_conflict,top1_count=2; top3_count=9; max_score=0.85
summit-candidate:5f001ac124f82ef6,yamap_2022-10-19_16_00.gpx,西港山・大丸山・港山,33.8685926,132.7153244,41.080000000000005,2,9,148|471,港山|花見山,59|111|146|147|148|178|243|471|500,忽那山|龍石山|西港山|大丸山|港山|土亀山|丸山|花見山|丸山,0.85,0.58,resolve_conflict,top1_count=2; top3_count=9; max_score=0.85
summit-candidate:5f31b84e049f61fa,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,33.525575,132.750723,798.325694253476,2,9,470|514,鎧掛山|棟山,164|453|459|466|467|468|470|514|516,出石山|大判山|高森山|大森山|高森山|町木山|鎧掛山|棟山|草屋敷,0.79,0.52,resolve_conflict,top1_count=2; top3_count=9; max_score=0.79
