mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
312,男山,summit-candidate:53a6401abf71c488,yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,1892.1433333333334,1838,54.14,0.67,1,2,0,false,true,medium,high,high,resolve_conflict,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=男山(#312); candidate=summit-candidate:53a6401abf71c488; track=""男山・瓶ヶ森・台ヶ森""; score=0.57; name_tier=strong; ele_diff=54.14m; loc=strong_overlap; act_conf=high"
312,男山,summit-candidate:7a5ca8d918f43720,yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,1708.05,1838,129.95,0.67,2,1,0,false,true,medium,medium,high,check_close_alternatives,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,"mountain=男山(#312); candidate=summit-candidate:7a5ca8d918f43720; track=""男山・瓶ヶ森・台ヶ森""; score=0.57; name_tier=strong; ele_diff=129.95m; loc=strong_overlap; act_conf=high"
312,男山,summit-candidate:c9e357d000632346,yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,1732.5766666666666,1838,105.42,0.67,3,1,0,false,true,medium,medium,high,check_close_alternatives,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,"mountain=男山(#312); candidate=summit-candidate:c9e357d000632346; track=""男山・瓶ヶ森・台ヶ森""; score=0.57; name_tier=strong; ele_diff=105.42m; loc=strong_overlap; act_conf=high"
312,男山,summit-candidate:b87c90ebd1eb0d06,yamap_2026-05-06_07_28.gpx,丸山・ちち山・笹ヶ峰,1856.6633333333332,1838,18.66,0.44,9,7,0.06,false,false,low,high,high,resolve_conflict,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=男山(#312); candidate=summit-candidate:b87c90ebd1eb0d06; track=""丸山・ちち山・笹ヶ峰""; score=0.34; name_tier=none; ele_diff=18.66m; loc=strong_overlap; act_conf=high"
312,男山,summit-candidate:7213c478833fd90f,yamap_2022-09-09_06_58.gpx,寒風山・笹ヶ峰・ちち山,1846.8,1838,8.8,0.38,10,5,0.04,false,false,low,deprioritized,high,check_location_warning,boundary_plausible,西条市,,adjacent_municipality,新居浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,deprioritized_no_support,boundary_plausible,"mountain=男山(#312); candidate=summit-candidate:7213c478833fd90f; track=""寒風山・笹ヶ峰・ちち山""; score=0.33; name_tier=none; ele_diff=8.8m; loc=mismatch_warning; act_conf=high"
312,男山,summit-candidate:71b10e23075edf20,yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,1863.226432016608,1838,25.23,0.32,13,11,0.05,false,false,none,high,high,resolve_conflict,boundary_plausible,西条市,,adjacent_municipality,久万高原町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=男山(#312); candidate=summit-candidate:71b10e23075edf20; track=""岩黒山・筒上山・手箱山""; score=0.27; name_tier=none; ele_diff=25.23m; loc=mismatch_warning; act_conf=high"
313,瓶ヶ森,summit-candidate:53a6401abf71c488,yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,1892.1433333333334,1897,4.86,0.85,1,1,0,true,true,medium,medium,high,resolve_conflict,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains|priority_reduced_strong_match_mutual_top1,shared_candidate,"mountain=瓶ヶ森(#313); candidate=summit-candidate:53a6401abf71c488; track=""男山・瓶ヶ森・台ヶ森""; score=0.75; name_tier=strong; ele_diff=4.86m; loc=strong_overlap; act_conf=high"
313,瓶ヶ森,summit-candidate:f2538b7f88e2dd06,yamap_2024-07-06_10_01.gpx,子持権現山・男山・瓶ヶ森,1892.493333333333,1897,4.51,0.85,2,1,0.12,false,true,medium,medium,high,check_close_alternatives,location_strong_match,西条市,,same_municipality,西条市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,small_score_gap,"mountain=瓶ヶ森(#313); candidate=summit-candidate:f2538b7f88e2dd06; track=""子持権現山・男山・瓶ヶ森""; score=0.75; name_tier=strong; ele_diff=4.51m; loc=strong_overlap; act_conf=high"
313,瓶ヶ森,summit-candidate:846b096132c533d6,yamap_2022-07-02_07_43.gpx,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,1879.8966666666665,1897,17.1,0.34,10,10,0,false,false,low,high,high,resolve_conflict,location_uncertain_keep,西条市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=瓶ヶ森(#313); candidate=summit-candidate:846b096132c533d6; track=""石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭""; score=0.34; name_tier=none; ele_diff=17.1m; loc=strong_overlap; act_conf=high"
314,宅並山,summit-candidate:23c112538ef91e0d,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,195.95000000000002,200,4.05,0.5,2,10,0,false,false,low,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=宅並山(#314); candidate=summit-candidate:23c112538ef91e0d; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.4; name_tier=none; ele_diff=4.05m; loc=strong_overlap; act_conf=high"
