"mountain_no","mountain_name","summit_candidate_id","candidate_rank","candidate_review_classification","grounding_assisted_candidate_score","grounding_match_status","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","source_gpx_basename","track_name","stage21_link_status","review_reason_codes","notes"
"210","福見山","summit-candidate:d03c84134ca0989d","1","review_deferred_grounding_supported_top1","0.6","weak_grounding_nearby","203.6","weak_grounding_nearby","744.7","yamap_2022-01-22_09_04.gpx","高森山・岩伽羅山・衣掛山・吉山(吉山城址)","not_in_stage21","","mountain=福見山(#210); candidate=summit-candidate:d03c84134ca0989d; grounding_match=weak_grounding_nearby; score=0.6"
"210","福見山","summit-candidate:446b5fe1e7a8b2fd","2","deferred_alternative","0.448","grounding_contradicted_or_unrelated","8212.9","grounding_contradicted_or_unrelated","","yamap_2023-03-11_06_08.gpx","福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:446b5fe1e7a8b2fd; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"210","福見山","summit-candidate:90f628409cfebc32","3","deferred_alternative","0.448","grounding_contradicted_or_unrelated","8212.9","grounding_contradicted_or_unrelated","","yamap_2023-01-03_07_36.gpx","福見山・河原樋山・真松嶺・柿王寺森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:90f628409cfebc32; grounding_match=grounding_contradicted_or_unrelated; score=0.448"
"210","福見山","summit-candidate:b1d864fd1fcc9dcb","4","deferred_alternative","0.36","grounding_contradicted_or_unrelated","5909.8","grounding_contradicted_or_unrelated","","yamap_2023-01-03_07_36.gpx","福見山・河原樋山・真松嶺・柿王寺森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:b1d864fd1fcc9dcb; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"210","福見山","summit-candidate:f2aae42aff3dea24","5","deferred_alternative","0.36","grounding_contradicted_or_unrelated","7370.8","grounding_contradicted_or_unrelated","","yamap_2023-01-03_07_36.gpx","福見山・河原樋山・真松嶺・柿王寺森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:f2aae42aff3dea24; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"210","福見山","summit-candidate:74dd1729abbd7bb5","6","deferred_alternative","0.36","grounding_contradicted_or_unrelated","7815","grounding_contradicted_or_unrelated","","yamap_2023-01-03_07_36.gpx","福見山・河原樋山・真松嶺・柿王寺森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:74dd1729abbd7bb5; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"210","福見山","summit-candidate:4fec4dd128e55ab0","7","deferred_alternative","0.36","grounding_contradicted_or_unrelated","7822.9","grounding_contradicted_or_unrelated","","yamap_2023-01-03_07_36.gpx","福見山・河原樋山・真松嶺・柿王寺森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:4fec4dd128e55ab0; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"210","福見山","summit-candidate:0ff024bf702c13bb","8","deferred_alternative","0.36","grounding_contradicted_or_unrelated","12799.2","grounding_contradicted_or_unrelated","","yamap_2023-03-11_06_08.gpx","福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:0ff024bf702c13bb; grounding_match=grounding_contradicted_or_unrelated; score=0.36"
"210","福見山","summit-candidate:83f3af0488659ac8","9","deferred_alternative","0.304","grounding_contradicted_or_unrelated","9241","grounding_contradicted_or_unrelated","","yamap_2023-03-11_06_08.gpx","福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:83f3af0488659ac8; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
"210","福見山","summit-candidate:5b124255339c0714","10","deferred_alternative","0.304","grounding_contradicted_or_unrelated","10575.2","grounding_contradicted_or_unrelated","","yamap_2023-03-11_06_08.gpx","福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森","not_in_stage21","grounding_far_from_candidate","mountain=福見山(#210); candidate=summit-candidate:5b124255339c0714; grounding_match=grounding_contradicted_or_unrelated; score=0.304"
