"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"134","雄甲山","review_required_grounding_coordinate_conflict","true","summit-candidate:82d3009a6c1b2511","0.57","summit-candidate:0022a746b396d4c7","0.35","coordinate_conflict","true","true","","grounding_unavailable","","","","medium","summit-candidate:82d3009a6c1b2511","true","25","0","0","coordinate_conflict",""
"135","雌甲山","review_required_grounding_coordinate_conflict","true","summit-candidate:82d3009a6c1b2511","0.57","summit-candidate:23c112538ef91e0d","0.2899999999999999","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:82d3009a6c1b2511","true","19","0","0","coordinate_conflict",""
"136","泉ガ森","review_required_grounding_coordinate_conflict","true","summit-candidate:ff0e7de3b62f5ed8","0.56","summit-candidate:6adfa15b8dbd8966","0.3500000000000001","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:ff0e7de3b62f5ed8","true","14","0","0","coordinate_conflict",""
"137","東山","review_required_grounding_coordinate_conflict","true","summit-candidate:124ae25a51aa9a64","0.38","summit-candidate:242762a3c600ff91","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:5c9365b2a5a9c97f","false","22","0","0","coordinate_conflict",""
"140","高戸山","review_required_grounding_coordinate_conflict","true","summit-candidate:aadeb26cf0359691","0.56","summit-candidate:45f49d8fd831427c","0.3500000000000001","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:aadeb26cf0359691","true","25","0","0","coordinate_conflict",""
"141","犬吠山","review_required_grounding_coordinate_conflict","true","summit-candidate:cc3fbb2358d0d4fc","0.56","summit-candidate:101c1b0635c0bec0","0.3500000000000001","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:cc3fbb2358d0d4fc","true","26","0","0","coordinate_conflict",""
"142","泰の山","review_required_grounding_coordinate_conflict","true","summit-candidate:c7de309bf838af87","0.56","summit-candidate:45f49d8fd831427c","0.3500000000000001","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:aadeb26cf0359691","false","25","0","0","coordinate_conflict",""
"147","大丸山","review_required_grounding_coordinate_conflict","true","summit-candidate:a9a2a270fb6273fe","0.57","summit-candidate:bf2b3499e08da2df","0","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:a9a2a270fb6273fe","true","24","0","0","coordinate_conflict",""
"148","港山","review_required_grounding_coordinate_conflict","true","summit-candidate:5f001ac124f82ef6","0.63","summit-candidate:bf2b3499e08da2df","0","coordinate_conflict","true","true","","grounding_unavailable","","","","medium","summit-candidate:bf2b3499e08da2df","false","13","0","0","coordinate_conflict",""
"149","すくも山","review_required_grounding_coordinate_conflict","true","summit-candidate:40d5b4863907057a","0.21","summit-candidate:5f001ac124f82ef6","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:f676e5a22f523492","false","13","0","0","coordinate_conflict",""
"150","愛ノ山","review_required_grounding_coordinate_conflict","true","summit-candidate:f676e5a22f523492","0.57","summit-candidate:bf9808bbf86d5d73","0.2899999999999999","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:f676e5a22f523492","true","21","0","0","coordinate_conflict",""
"152","割石峠山","review_required_grounding_coordinate_conflict","true","summit-candidate:45f2c6fc88212acd","0.57","summit-candidate:16e9de2bedeb2d1c","0.11999999999999994","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:45f2c6fc88212acd","true","22","0","0","coordinate_conflict",""
"153","石墨山","review_required_grounding_coordinate_conflict","true","summit-candidate:9f01494435790d72","0.5","summit-candidate:16e9de2bedeb2d1c","0.04999999999999999","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:c2fc382b492cfde4","false","21","0","0","coordinate_conflict",""
"154","法師山","review_required_grounding_coordinate_conflict","true","summit-candidate:25e47e34740282d2","0.63","summit-candidate:16e9de2bedeb2d1c","0.18","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:25e47e34740282d2","true","14","0","0","coordinate_conflict",""
"155","白猪山","review_required_grounding_coordinate_conflict","true","summit-candidate:5cb1fa3d9dcf60f5","0.51","summit-candidate:16e9de2bedeb2d1c","0.06","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:c2fc382b492cfde4","false","24","0","0","coordinate_conflict",""
"156","梅ヶ谷山","review_required_grounding_coordinate_conflict","true","summit-candidate:25e47e34740282d2","0.63","summit-candidate:16e9de2bedeb2d1c","0.18","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:25e47e34740282d2","true","16","0","0","coordinate_conflict",""
"157","樽谷山","review_required_grounding_coordinate_conflict","true","summit-candidate:16e9de2bedeb2d1c","0.63","summit-candidate:5cb1fa3d9dcf60f5","0.06000000000000005","coordinate_conflict","true","true","","grounding_unavailable","","","","high","summit-candidate:16e9de2bedeb2d1c","true","23","0","0","coordinate_conflict",""
"158","根無山","review_required_grounding_coordinate_conflict","true","summit-candidate:5cb1fa3d9dcf60f5","0.63","summit-candidate:16e9de2bedeb2d1c","0.06000000000000005","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:5cb1fa3d9dcf60f5","true","27","0","0","coordinate_conflict",""
"159","権現山","review_required_grounding_coordinate_conflict","true","summit-candidate:cf97b8470d2ed1d7","0.63","summit-candidate:ffa6a88e4e680fd5","0.12","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:cf97b8470d2ed1d7","true","29","0","0","coordinate_conflict",""
"160","黒岳","review_required_grounding_coordinate_conflict","true","summit-candidate:ffa6a88e4e680fd5","0.63","summit-candidate:7ef7c15a52318cc9","0.06000000000000005","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:ffa6a88e4e680fd5","true","14","0","0","coordinate_conflict",""
"161","エビラ山","review_required_grounding_coordinate_conflict","true","summit-candidate:09547fd48f24d064","0.63","summit-candidate:7ef7c15a52318cc9","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:09547fd48f24d064","true","14","0","0","coordinate_conflict",""
"162","二ッ岳","review_required_grounding_coordinate_conflict","true","summit-candidate:09547fd48f24d064","0.57","summit-candidate:7ef7c15a52318cc9","0","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:09547fd48f24d064","true","15","0","0","coordinate_conflict",""
"164","出石山","review_required_grounding_coordinate_conflict","true","summit-candidate:615a70cf4401199b","0.57","summit-candidate:37c3a34c16599379","0.35","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:615a70cf4401199b","true","15","0","0","coordinate_conflict",""
"165","綱繰山","review_required_grounding_coordinate_conflict","true","summit-candidate:53d0e375c60814f6","0.63","summit-candidate:a557f14fb032a808","0.12","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:53d0e375c60814f6","true","17","0","0","coordinate_conflict",""
"166","獅子舞の鼻","review_required_grounding_coordinate_conflict","true","summit-candidate:53d0e375c60814f6","0.57","summit-candidate:006436491de34784","0.11999999999999994","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:53d0e375c60814f6","true","13","0","0","coordinate_conflict",""
"167","冠山","review_required_grounding_coordinate_conflict","true","summit-candidate:006436491de34784","0.63","summit-candidate:a00d481162af54e2","0.13","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:006436491de34784","true","14","0","0","coordinate_conflict",""
"168","遠ヶ森","review_required_grounding_coordinate_conflict","true","summit-candidate:02fa4cfab6fa90d3","0.63","summit-candidate:0a765b89058b256b","0.42000000000000004","coordinate_conflict","true","true","","grounding_unavailable","","","","deprioritized","summit-candidate:02fa4cfab6fa90d3","true","11","0","0","coordinate_conflict",""
"171","塔ノ峰","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"172","海山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"176","永納山(永納山城址)","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:101c1b0635c0bec0","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"177","佐々久山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:1ed32ce6414c2781","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"178","土亀山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:5c9365b2a5a9c97f","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"180","東山","review_required_conflict","true","summit-candidate:2b7cce23b57844a5","0.36","summit-candidate:e2bdd25969c7f122","0","usable","true","false","7157.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5104c47f17101d63","false","10","0","0","stage21_stage23_top_candidate_disagreement",""
"183","真松嶺","review_required_conflict","true","summit-candidate:f2aae42aff3dea24","0.504","summit-candidate:74dd1729abbd7bb5","0","usable","true","false","19078.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:74dd1729abbd7bb5","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"184","柿王寺森","review_required_conflict","true","summit-candidate:f2aae42aff3dea24","0.504","summit-candidate:74dd1729abbd7bb5","0","usable","true","false","18633.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:74dd1729abbd7bb5","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"196","大森山","review_required_conflict","true","summit-candidate:830c63408bf56cc5","0.504","summit-candidate:b3cf76c035511afe","0.2","usable","true","false","15631.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:47129c06b82cf694","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"197","見晴山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:47129c06b82cf694","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"198","権現山","review_required_conflict","true","summit-candidate:c94d8d76133fda1a","0.448","summit-candidate:047b9599ec28c6ad","0","usable","true","false","59775.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:047b9599ec28c6ad","false","22","0","0","stage21_stage23_top_candidate_disagreement",""
"199","遠見山","review_required_conflict","true","summit-candidate:40d5b4863907057a","0.6","summit-candidate:e55456349660bd14","0.296","usable","true","false","248.8","weak_grounding_nearby","79.5","exact","exact","deprioritized","summit-candidate:47129c06b82cf694","false","2","0","1","stage21_stage23_top_candidate_disagreement",""
"202","鳥越山","review_required_conflict","true","summit-candidate:c7de309bf838af87","0.532","summit-candidate:5b7c833ac0535534","0.028000000000000025","usable","true","false","399.9","far_grounding_candidate","11.8","exact","exact","deprioritized","summit-candidate:5b7c833ac0535534","false","2","0","0","stage21_stage23_top_candidate_disagreement",""
"203","谷田山","review_required_conflict","true","summit-candidate:ab7edbc3a52d24bf","0.456","","","usable","true","false","5477.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5b7c833ac0535534","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"205","佐古田山","review_required_conflict","true","summit-candidate:cf6802c2dafdbf46","0.456","","","usable","true","false","6124.1","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5b7c833ac0535534","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"208","宝ヶ峯","review_required_conflict","true","summit-candidate:d43fade4de3e33c8","0.895","summit-candidate:b9e78d4a587ceaa0","0","usable","true","false","63","strong_grounding_nearby","5.1","exact","exact","low","summit-candidate:b9e78d4a587ceaa0","false","4","0","2","stage21_stage23_top_candidate_disagreement",""
"210","福見山","review_required_conflict","true","summit-candidate:d03c84134ca0989d","0.6","summit-candidate:446b5fe1e7a8b2fd","0.15199999999999997","usable","true","false","203.6","weak_grounding_nearby","744.7","exact","exact","deprioritized","summit-candidate:446b5fe1e7a8b2fd","false","10","0","1","stage21_stage23_top_candidate_disagreement",""
"222","西赤石山","review_required_conflict","true","summit-candidate:5104c47f17101d63","0.504","summit-candidate:473a62086144ac33","0","usable","true","false","3075.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:473a62086144ac33","false","10","0","0","stage21_stage23_top_candidate_disagreement",""
"223","物住頭","review_required_conflict","true","summit-candidate:53d0e375c60814f6","0.6","summit-candidate:a6379cb2ebc004fb","0.09599999999999997","usable","true","false","238","weak_grounding_nearby","177","exact","exact","deprioritized","summit-candidate:473a62086144ac33","false","9","0","1","stage21_stage23_top_candidate_disagreement",""
"224","上兜山","review_required_conflict","true","summit-candidate:473a62086144ac33","0.36","summit-candidate:339138a4e53293da","0","usable","true","false","4395.5","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:339138a4e53293da","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"245","高森","review_required_conflict","true","summit-candidate:a61fd78e4e062683","0.448","summit-candidate:5771cdd191c3861d","0","usable","true","false","32734.4","grounding_contradicted_or_unrelated","","","","low","summit-candidate:5771cdd191c3861d","false","12","0","0","stage21_stage23_top_candidate_disagreement",""
"248","瀬戸黒森","review_required_conflict","true","summit-candidate:290abf917754fd0b","0.504","summit-candidate:f7593239fa7bdcc9","0.14400000000000002","usable","true","false","2711.7","grounding_contradicted_or_unrelated","","","","low","summit-candidate:f7593239fa7bdcc9","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"253","秦皇山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:1d97e1955af85092","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"260","開山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","mismatch","deprioritized","summit-candidate:02d59cd1260af017","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"266","郭公岳","review_required_conflict","true","summit-candidate:27c1036d4aa2230e","0.46","summit-candidate:3853fbbba7330ec4","0.01200000000000001","usable","true","false","259.5","far_grounding_candidate","157.6","exact","exact","deprioritized","summit-candidate:3853fbbba7330ec4","false","6","0","0","stage21_stage23_top_candidate_disagreement",""
"269","櫨ヶ森","review_required_conflict","true","summit-candidate:ba56c1ac8ac55c5f","0.504","summit-candidate:f7e5fd7b11eb7bd4","0.04799999999999999","usable","true","false","3159.1","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:f7e5fd7b11eb7bd4","false","5","0","0","stage21_stage23_top_candidate_disagreement",""
"279","城山","review_required_conflict","true","summit-candidate:d19542a61a416537","0.504","summit-candidate:1432f597b5dca157","0","usable","true","false","5173.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:1432f597b5dca157","false","29","0","0","stage21_stage23_top_candidate_disagreement",""
"282","張木山","review_required_conflict","true","summit-candidate:b49681fa67b2b53e","0.504","summit-candidate:e75e04c2fbe61c2f","0.14400000000000002","usable","true","false","14731.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:3c28b6ebd5a97155","false","2","0","0","stage21_stage23_top_candidate_disagreement",""
"290","長尾森","review_required_conflict","true","summit-candidate:91ebf1d99654d5b2","0.49","summit-candidate:9186201ca03b041d","0.033999999999999975","usable","true","false","437.2","far_grounding_candidate","17.7","exact","exact","deprioritized","summit-candidate:9186201ca03b041d","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"304","青刈山","review_required_conflict","true","summit-candidate:94e96018c0a5450d","0.304","","","usable","true","false","3523.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:588c967023117267","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"309","平家平","review_required_conflict","true","summit-candidate:c256cfef3720557f","0.448","summit-candidate:dc647fe1827a43e3","0","usable","true","false","7866.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:006436491de34784","false","7","0","0","stage21_stage23_top_candidate_disagreement",""
"320","銅山峰","review_required_conflict","true","summit-candidate:0dea5d073885dc9d","0.36","summit-candidate:057580d1c60049b6","0","usable","true","false","2996.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:006436491de34784","false","8","0","0","stage21_stage23_top_candidate_disagreement",""
"331","五郎丸","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","13445.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"332","高丸","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","13551","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"333","金見山","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0.04799999999999999","usable","true","false","13635.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"334","木峰","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.504","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","14473.1","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"335","天狗森","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.36","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","14781.6","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"337","龍王山","review_required_conflict","true","summit-candidate:9cc74b44e1289236","0.36","summit-candidate:c8607e1f03bb5db1","0","usable","true","false","15975.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","4","0","0","stage21_stage23_top_candidate_disagreement",""
"339","城山","review_required_conflict","true","summit-candidate:7d7066baad9d7077","0.304","summit-candidate:ea33d870d4700a56","0","usable","true","false","70321.9","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:edac81b361bdc70c","false","28","0","0","stage21_stage23_top_candidate_disagreement",""
"341","秋葉山","review_required_conflict","true","summit-candidate:61304308f9a58d0d","0.6","summit-candidate:23316af255d30882","0.09599999999999997","usable","true","false","236.3","weak_grounding_nearby","63.4","exact","exact","deprioritized","summit-candidate:0bd3d051cdb972fd","false","4","0","1","stage21_stage23_top_candidate_disagreement",""
"343","明神山","review_required_conflict","true","summit-candidate:23316af255d30882","0.504","summit-candidate:0bd3d051cdb972fd","0","usable","true","false","4753.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:0bd3d051cdb972fd","false","10","0","0","stage21_stage23_top_candidate_disagreement",""
"349","八倉山","review_required_conflict","true","summit-candidate:4973965873779cdc","0.504","summit-candidate:cfd366be872f9534","0.14400000000000002","usable","true","false","3044.4","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:4416099ca0f9da08","false","2","0","0","stage21_stage23_top_candidate_disagreement",""
"355","足山","review_required_conflict","true","summit-candidate:9306f5a7fe249a15","0.456","summit-candidate:0048d4d3a7981b80","0","usable","true","false","4098.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:0048d4d3a7981b80","false","13","0","0","stage21_stage23_top_candidate_disagreement",""
"357","尉之山","review_required_conflict","true","summit-candidate:ea33d870d4700a56","0.496","summit-candidate:12f30719aca26806","0.03999999999999998","usable","true","false","339.6","far_grounding_candidate","31.3","exact","exact","deprioritized","summit-candidate:2b833dfb6f3f84c1","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"367","西の山","review_required_conflict","true","summit-candidate:a14a745323a3d3af","0.504","","","usable","true","false","4188.7","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:8cef52d6989a94db","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"372","亀老山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","mismatch","deprioritized","summit-candidate:40260be41579ab8f","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"376","高取山","review_required_conflict","true","summit-candidate:86e4db352b85ced4","0.4","","","usable","true","false","3319","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:afc2e407c1d6b464","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"398","岳山","review_required_conflict","true","summit-candidate:b02ff952b74ca472","0.4","summit-candidate:80fb4ff56016a4dd","0.09600000000000003","usable","true","false","13863","grounding_contradicted_or_unrelated","","","","deprioritized","summit-candidate:5f3f2f47d84464c4","false","3","0","0","stage21_stage23_top_candidate_disagreement",""
"400","愛の森","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:62d2811f5d1a9f29","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
"403","船山","review_required_conflict","true","","0","","","usable","true","false","","no_candidate","","exact","exact","deprioritized","summit-candidate:2a670286f545beb2","false","1","0","0","stage21_stage23_top_candidate_disagreement",""
