"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"1","関ヶ森","review_required_no_grounding","true","summit-candidate:a0c35720552a78c8","0.57","summit-candidate:c284068144ec2cfd","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","20","0","0","no_usable_coordinate",""
"2","観音山","review_required_no_grounding","true","summit-candidate:cb62a56e70cedbce","0.57","summit-candidate:0022a746b396d4c7","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","25","0","0","no_usable_coordinate",""
"4","岩伽羅山","review_required_no_grounding","true","summit-candidate:e7ae682a07af2e10","0.57","summit-candidate:d03c84134ca0989d","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","13","0","0","no_usable_coordinate",""
"5","衣掛山","review_required_no_grounding","true","summit-candidate:d03c84134ca0989d","0.45","summit-candidate:e7ae682a07af2e10","0","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","16","0","0","no_usable_coordinate",""
"6","吉山(吉山城址)","review_required_no_grounding","true","summit-candidate:d03c84134ca0989d","0.51","summit-candidate:e7ae682a07af2e10","0.06","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","32","0","0","no_usable_coordinate",""
"7","尾ノ峰","review_required_no_grounding","true","summit-candidate:36e3ac8003e8b5d0","0.63","summit-candidate:d6b806525709cc22","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","22","0","0","no_usable_coordinate",""
"8","新城山","review_required_no_grounding","true","summit-candidate:ac7a1ebef52ea30c","0.63","summit-candidate:36e3ac8003e8b5d0","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","18","0","0","no_usable_coordinate",""
"9","腰折山","review_required_no_grounding","true","summit-candidate:d6b806525709cc22","0.63","summit-candidate:36e3ac8003e8b5d0","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","24","0","0","no_usable_coordinate",""
"10","恵良山","review_required_no_grounding","true","summit-candidate:40260be41579ab8f","0.63","summit-candidate:36e3ac8003e8b5d0","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","28","0","0","no_usable_coordinate",""
"11","皿ヶ森","review_required_no_grounding","true","summit-candidate:59c561a08189d6b9","0.63","summit-candidate:7c532ef1be71a4d1","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","21","0","0","no_usable_coordinate",""
"12","経座ヶ森","review_required_no_grounding","true","summit-candidate:59c561a08189d6b9","0.45","summit-candidate:7c532ef1be71a4d1","0","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","14","0","0","no_usable_coordinate",""
"13","谷上山","review_required_no_grounding","true","summit-candidate:0eff3d1ea2b48d73","0.63","summit-candidate:2c817617699a0a45","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","22","0","0","no_usable_coordinate",""
"14","権現山","review_required_no_grounding","true","summit-candidate:2c817617699a0a45","0.63","summit-candidate:0eff3d1ea2b48d73","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","36","0","0","no_usable_coordinate",""
"15","白滝山","review_required_no_grounding","true","summit-candidate:ea5f711625df386b","0.63","summit-candidate:2c817617699a0a45","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","19","0","0","no_usable_coordinate",""
"16","障子山","review_required_no_grounding","true","summit-candidate:a0ef25e9a532b62e","0.56","summit-candidate:0eff3d1ea2b48d73","0.11000000000000004","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","19","0","0","no_usable_coordinate",""
"17","伽藍山","review_required_no_grounding","true","summit-candidate:da46e12c02d47edf","0.63","summit-candidate:40d5b4863907057a","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","29","0","0","no_usable_coordinate",""
"18","塩ヶ森","review_required_no_grounding","true","summit-candidate:0c210f0edfbda06f","0.63","summit-candidate:24dc6cf37ce4e715","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","18","0","0","no_usable_coordinate",""
"19","番駄ヶ森","review_required_no_grounding","true","summit-candidate:a637fbc518f58ac5","0.63","summit-candidate:24dc6cf37ce4e715","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","26","0","0","no_usable_coordinate",""
"20","ケタ山","review_required_no_grounding","true","summit-candidate:24dc6cf37ce4e715","0.57","summit-candidate:d4dc6f2bbe1f994f","0","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","19","0","0","no_usable_coordinate",""
"21","大磨山","review_required_no_grounding","true","summit-candidate:24dc6cf37ce4e715","0.63","summit-candidate:d4dc6f2bbe1f994f","0","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","24","0","0","no_usable_coordinate",""
"22","鍵山（象ヶ森）","review_required_no_grounding","true","summit-candidate:c2491268ea5645b7","0.63","summit-candidate:0c210f0edfbda06f","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","19","0","0","no_usable_coordinate",""
"23","天神山","review_required_no_grounding","true","summit-candidate:543b4550a3ef3e87","0.63","summit-candidate:5aff666aa93b3a17","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","23","0","0","no_usable_coordinate",""
"24","御幸寺山","review_required_no_grounding","true","summit-candidate:e4808690532bb46c","0.63","summit-candidate:543b4550a3ef3e87","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","","","false","18","0","0","no_usable_coordinate",""
