No,山名,標高,登頂回数,YAMAP link,難易度ランク,エントリーコースお勧め山,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
67,甲が森,451,1,https://yamap.com/activities/16788269,1,,,西予市,2022,,4月,,,,,,,
68,三滝山,642,1,https://yamap.com/activities/16791907,1,,,西予市,2022,,4月,,,,,,,★
69,雨包山,"1,111",1,https://yamap.com/activities/16791908,1,,,西予市,2022,,4月,,,,〇,,,★
70,源氏ヶ駄場（薊野峰）,"1,403",1,https://yamap.com/activities/16794762,1,,,西予市,2022,,4月,大野ヶ原,〇,〇,〇,★,☆,★
71,碁石ヶ森,"1,183",1,https://yamap.com/activities/16795124,1,,,西予市,2022,,4月,,,,〇,,,
72,伊之子山,872,1,https://yamap.com/activities/16866851,3,,,松山市,2022,,4月,,,,,,,
73,御在所山,915,1,https://yamap.com/activities/16881352,3,,,西予市,2022,〇,4月,,,,,,,
74,岩黒山,"1,746",1,https://yamap.com/activities/16929212,2,,,久万高原町,2022,,4月,,〇,〇,〇,★,☆,★
75,筒上山,"1,860",1,https://yamap.com/activities/16929212,2,,,久万高原町,2022,,4月,,〇,〇,〇,★,☆,★
76,手箱山,"1,806",1,https://yamap.com/activities/16929212,3,,,久万高原町,2022,,4月,高知県,,,〇,,,
77,大川嶺,"1,525",1,https://yamap.com/activities/16982038,1,,,久万高原町,2022,,5月,,〇,〇,〇,★,☆,★
78,笠取山,"1,562",1,https://yamap.com/activities/16982038,1,,,久万高原町,2022,,5月,,〇,〇,〇,,,
79,ウバホド山,"1,482",1,https://yamap.com/activities/16982038,2,,,久万高原町,2022,,5月,,,,〇,,,
80,うなめご,"1,284",1,https://yamap.com/activities/17142799,2,,,東温市,2022,,5月,,〇,,,,,★
81,前々司山,"1,253",1,https://yamap.com/activities/17142799,2,,,東温市,2022,,5月,,,,,,,
82,陣ヶ森,"1,207",1,https://yamap.com/activities/17142799,2,,,東温市,2022,,5月,,,,〇,,,
83,寒川山,817,1,https://yamap.com/activities/17193098,2,,,四国中央市,2022,〇,5月,,,,,,,
84,豊受山,"1,247",1,https://yamap.com/activities/17193098,2,,,四国中央市,2022,〇,5月,,〇,〇,〇,,☆,★
85,赤星山,"1,453",1,https://yamap.com/activities/17193098,2,,,四国中央市,2022,〇,5月,,〇,〇,〇,★,☆,★
86,七々木山,"1,145",1,https://yamap.com/activities/17193098,2,,,四国中央市,2022,〇,5月,,,,,,,
87,鋸山,"1,017",1,https://yamap.com/activities/17193098,2,,,四国中央市,2022,〇,5月,,,〇,〇,,,
88,翠波峰,891,1,https://yamap.com/activities/17193111,1,,,四国中央市,2022,〇,5月,,〇,〇,,★,☆,★
89,平石山,826,1,https://yamap.com/activities/17195739,1,,,四国中央市,2022,〇,5月,,,,,,,★
90,割石東山,"1,074",1,https://yamap.com/activities/17344616,2,,,久万高原町,2022,〇,5月,,,,〇,,,★
91,青滝山,"1,303",1,https://yamap.com/activities/17344616,3,,,久万高原町,2022,〇,5月,,,,〇,,,★
92,堂ヶ森,"1,689",1,https://yamap.com/activities/17344616,3,,,久万高原町,2022,〇,5月,,〇,〇,〇,,☆,★
93,南尖峰,"1,982",1,https://yamap.com/activities/17465823,2,,,久万高原町,2022,,5月,,〇,〇,〇,,,
94,自念子ノ頭,"1,702",1,https://yamap.com/activities/17536161,2,,,西条市,2022,,5月,,,,〇,,,
95,勝山,131,1,https://yamap.com/activities/17745232,1,,,松山市,2022,,6月,,,,,,,
96,姫草,"1,274",1,https://yamap.com/activities/17955297,1,,,西予市,2022,,6月,,,,〇,,,
97,牛城,"1,342",1,https://yamap.com/activities/17956064,2,,,西予市,2022,,6月,,,,〇,,,
98,積善山,370,1,https://yamap.com/activities/17985256,1,〇,,岩城島,2022,,6月,,,〇,,,,
99,鉢巻山,142,1,https://yamap.com/activities/17993401,4,,,生名島,2022,,6月,,,,,,,
100,立石山,139,1,https://yamap.com/activities/17999330,1,〇,,生名島,2022,,6月,,,,,,,
101,鷲ヶ頭山,436,1,https://yamap.com/activities/18060852,2,〇,,大三島,2022,,6月,,〇,〇,,,☆,★
102,安神山,267,1,https://yamap.com/activities/18060852,2,,,大三島,2022,,6月,,,,,,,
103,篠山,"1,065",1,https://yamap.com/activities/18089469,2,〇,,愛南町,2022,〇,6月,,〇,〇,〇,★,☆,★
104,横山(横山城址),453,1,https://yamap.com/activities/18196317,1,,,松山市,2022,,6月,,,,,,,
