mountain_no,mountain_name,summit_candidate_id,candidate_rank_for_mountain,candidate_rank_for_summit_candidate,combined_candidate_score,confidence,match_status,candidate_generation_strategy,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,grounding_distance_m,csv_coordinate_distance_m,elevation_diff_m,municipality_compatibility,name_evidence_tier,needs_human_review,review_reason_codes,notes
405,加塚山,summit-candidate:f59e1ba73617c383,6,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-06_08_48.gpx,加塚山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;near_tie_candidates_for_mountain,
406,新谷神南山,summit-candidate:49147712961a83be,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-09_06_48.gpx,新谷神南山・五十崎神南山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
406,新谷神南山,summit-candidate:6342f0069cd164e8,2,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-09_06_48.gpx,新谷神南山・五十崎神南山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
407,五十崎神南山,summit-candidate:49147712961a83be,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-09_06_48.gpx,新谷神南山・五十崎神南山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
407,五十崎神南山,summit-candidate:6342f0069cd164e8,2,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-09_06_48.gpx,新谷神南山・五十崎神南山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
408,笠成山,summit-candidate:81081ef1b6e58a79,1,1,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-04-14_05_56.gpx,笠成山,NaN,NaN,,,,,,strong,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
409,小屋山,summit-candidate:01f601a63b1874f6,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
409,小屋山,summit-candidate:0cc9c1186612ceaa,2,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
409,小屋山,summit-candidate:1f61c36c208539fd,3,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
409,小屋山,summit-candidate:422a9e74717ca96d,4,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
410,丸石山,summit-candidate:01f601a63b1874f6,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
410,丸石山,summit-candidate:1f61c36c208539fd,2,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
410,丸石山,summit-candidate:422a9e74717ca96d,3,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
410,丸石山,summit-candidate:0cc9c1186612ceaa,4,2,0.55,low,v3_conflict_case,fallback_name_only_review,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,NaN,NaN,,NaN,,,,strong,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
411,野地峰,summit-candidate:17a471cc45af2c05,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
411,野地峰,summit-candidate:8326f30918c16cbe,2,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
411,野地峰,summit-candidate:e93bba1998d4efb5,3,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
411,野地峰,summit-candidate:53bf856dccad5eab,4,1,0.55,low,v3_conflict_case,fallback_name_only_review,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
412,黒岩山,summit-candidate:17a471cc45af2c05,1,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
412,黒岩山,summit-candidate:8326f30918c16cbe,2,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
412,黒岩山,summit-candidate:e93bba1998d4efb5,3,2,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
412,黒岩山,summit-candidate:53bf856dccad5eab,4,2,0.55,low,v3_conflict_case,fallback_name_only_review,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
413,大野山,summit-candidate:17a471cc45af2c05,1,3,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
413,大野山,summit-candidate:8326f30918c16cbe,2,3,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
413,大野山,summit-candidate:e93bba1998d4efb5,3,3,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
413,大野山,summit-candidate:53bf856dccad5eab,4,3,0.55,low,v3_conflict_case,fallback_name_only_review,yamap_2025-04-27_06_23.gpx,野地峰・黒岩山・大野山,NaN,NaN,,NaN,,,,strong,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
414,水なし山,summit-candidate:403c0894babcf279,1,1,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2025-06-21_08_53.gpx,貝渚山・水なし山,NaN,NaN,,NaN,,,,strong,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate,
