mountain_no,mountain_name,summit_candidate_id,grounding_assisted_candidate_score,grounding_match_status,grounding_distance_m,grounding_elevation_diff_m,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,candidate_rank_for_mountain,track_name,grounding_reason_codes
287,小屋ヶ森,summit-candidate:91ebf1d99654d5b2,0.4,grounding_contradicted_or_unrelated,584.9,,33.1848651,132.6159575,1162.2731411431716,1184,5,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_far_from_candidate
287,小屋ヶ森,summit-candidate:babbcdf7bbd23463,0.352,grounding_contradicted_or_unrelated,1296.8,,33.1878433,132.6355525,1222.4936499541386,1184,6,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_far_from_candidate
287,小屋ヶ森,summit-candidate:40068653b28bad40,0.304,grounding_contradicted_or_unrelated,2175.5,,33.2001424,132.6082692,1090.3964691990484,1184,7,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_far_from_candidate
288,串ヶ森,summit-candidate:9186201ca03b041d,0.504,grounding_contradicted_or_unrelated,3917,,33.1727703,132.6401559,1160.4399999999998,1160,1,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
288,串ヶ森,summit-candidate:12c27f259b66de80,0.352,grounding_contradicted_or_unrelated,2965.7,,33.1850023,132.6371878,1201.04,1160,2,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
289,目黒鳥屋,summit-candidate:9186201ca03b041d,0.504,grounding_contradicted_or_unrelated,2117.4,,33.1727703,132.6401559,1160.4399999999998,1157,1,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
289,目黒鳥屋,summit-candidate:12c27f259b66de80,0.352,grounding_contradicted_or_unrelated,895,,33.1850023,132.6371878,1201.04,1157,2,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
290,長尾森,summit-candidate:91ebf1d99654d5b2,0.49,far_grounding_candidate,437.2,17.7,33.1848651,132.6159575,1162.2731411431716,1180,1,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,
290,長尾森,summit-candidate:9186201ca03b041d,0.456,grounding_contradicted_or_unrelated,2529.4,,33.1727703,132.6401559,1160.4399999999998,1180,2,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
290,長尾森,summit-candidate:12c27f259b66de80,0.4,grounding_contradicted_or_unrelated,1674.4,,33.1850023,132.6371878,1201.04,1180,3,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_far_from_candidate
