mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
423,鶴ノ子ノ頭,summit-candidate:19713e48698f3e2a,yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,1967.0036586656968,1637,330,0.455,3,2,0.1445,false,true,low,high,high,check_location_warning,boundary_tolerated_mismatch,久万高原町,,,"石鎚神社, 三の鎖, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:19713e48698f3e2a; ref_score=0.455; ref_rank=3; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
423,鶴ノ子ノ頭,summit-candidate:109bc31ba8b3aa15,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,1627.0833333333333,1637,9.92,0.3105,4,7,0,false,false,low,high,high,resolve_conflict,boundary_tolerated_mismatch,久万高原町,,,"試しの鎖, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,shared_candidate,"mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:109bc31ba8b3aa15; ref_score=0.3105; ref_rank=4; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
423,鶴ノ子ノ頭,summit-candidate:61a5956a49a7ace2,yamap_2022-10-08_06_12.gpx,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,1631.9833333333333,1637,5.02,0.3105,5,10,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,久万高原町,,,"新居浜市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:61a5956a49a7ace2; ref_score=0.3105; ref_rank=5; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
423,鶴ノ子ノ頭,summit-candidate:9aa0e8d9e593d79d,yamap_2024-09-14_07_46.gpx,伊予富士,1628.8633333333335,1637,8.14,0.3105,6,5,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,久万高原町,,,"町道瓶ヶ森線, いの町, 吾川郡, 高知県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:9aa0e8d9e593d79d; ref_score=0.3105; ref_rank=6; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
423,鶴ノ子ノ頭,summit-candidate:a6379cb2ebc004fb,yamap_2023-03-29_05_31.gpx,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,1631.17,1637,5.83,0.3105,7,11,0.051,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,久万高原町,,,"新居浜市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=鶴ノ子ノ頭(#423); candidate=summit-candidate:a6379cb2ebc004fb; ref_score=0.3105; ref_rank=7; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
424,千秋寺山,summit-candidate:084fa7c9e55252dc,yamap_2026-03-11_10_35.gpx,野津子山・軽ノ山,165.84333333333333,157,8.84,0.49,1,9,0,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"祝谷六丁目, 祝谷西町, 松山市, 愛媛県, 790-0833, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=千秋寺山(#424); candidate=summit-candidate:084fa7c9e55252dc; ref_score=0.49; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
424,千秋寺山,summit-candidate:3259dfe3d9ce60c5,yamap_2022-03-23_07_38.gpx,明神山・潮見山,152.25333333333333,157,4.75,0.49,2,6,0,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"平井町, 松山市, 愛媛県, 791-0243, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=千秋寺山(#424); candidate=summit-candidate:3259dfe3d9ce60c5; ref_score=0.49; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
424,千秋寺山,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,157,0.55,0.49,3,9,0,false,false,low,medium,high,check_close_alternatives,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2499, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=千秋寺山(#424); candidate=summit-candidate:ac7a1ebef52ea30c; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
424,千秋寺山,summit-candidate:5aff666aa93b3a17,yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,181.12,157,24.12,0.439,5,21,0,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"平田町, 松山市, 愛媛県, 791-8004, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=千秋寺山(#424); candidate=summit-candidate:5aff666aa93b3a17; ref_score=0.439; ref_rank=5; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
424,千秋寺山,summit-candidate:bdfa250c89c1ca90,yamap_2022-02-23_08_42.gpx,西山・経ヶ森・岩子山・護摩ヶ森,168.98333333333335,157,11.98,0.439,9,17,0.1285,false,false,low,high,high,resolve_conflict,exact_municipality_match,松山市,,松山市,"高浜トンネル, 高浜町一丁目, 新浜町, 松山市, 愛媛県, 791-8081, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=千秋寺山(#424); candidate=summit-candidate:bdfa250c89c1ca90; ref_score=0.439; ref_rank=9; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
424,千秋寺山,summit-candidate:3c1e55e6cc05c0ad,yamap_2025-01-30_13_18.gpx,金子山,148.30058041636374,157,8.7,0.3105,10,19,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,松山市,,,"林道 金子芳谷線, 横水町, 新居浜市, 愛媛県, 792-0050, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch,location_mismatch_warning,mountain=千秋寺山(#424); candidate=summit-candidate:3c1e55e6cc05c0ad; ref_score=0.3105; ref_rank=10; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
424,千秋寺山,summit-candidate:47b61397fb9c5d3f,yamap_2025-02-24_10_12.gpx,霊仙山,152.43333333333337,157,4.57,0.3105,11,13,0,false,false,low,high,high,resolve_conflict,boundary_tolerated_mismatch,松山市,,,"旦, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,shared_candidate,"mountain=千秋寺山(#424); candidate=summit-candidate:47b61397fb9c5d3f; ref_score=0.3105; ref_rank=11; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
424,千秋寺山,summit-candidate:a92a94d8b5e0fb90,yamap_2022-06-20_12_02.gpx,安神山・鷲ヶ頭山,156.04151443047127,157,0.96,0.3105,12,14,0.051,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,松山市,,,"十却橋, 大三島町宮浦, 下条, 今治市, 愛媛県, 794-1402, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=千秋寺山(#424); candidate=summit-candidate:a92a94d8b5e0fb90; ref_score=0.3105; ref_rank=12; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
424,千秋寺山,summit-candidate:101c1b0635c0bec0,yamap_2022-12-25_10_09.gpx,高山,131.66666666666666,157,25.33,0.2595,13,40,0,false,false,none,high,high,resolve_conflict,boundary_tolerated_mismatch,松山市,,,"波方町馬刀潟, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,shared_candidate,"mountain=千秋寺山(#424); candidate=summit-candidate:101c1b0635c0bec0; ref_score=0.2595; ref_rank=13; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
424,千秋寺山,summit-candidate:50aa5073a99759cf,yamap_2022-06-18_14_26.gpx,立石山,133.6903994266386,157,23.31,0.2595,15,36,0,false,false,none,high,high,resolve_conflict,boundary_tolerated_mismatch,松山市,,,"横浜生名港線, 生名, 上島町, 越智郡, 愛媛県, 794-2550, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,shared_candidate,"mountain=千秋寺山(#424); candidate=summit-candidate:50aa5073a99759cf; ref_score=0.2595; ref_rank=15; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
425,黒川山,summit-candidate:109bc31ba8b3aa15,yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,1627.0833333333333,1365,262.08,0.6345,3,3,0,false,true,medium,high,high,resolve_conflict,exact_municipality_match,西条市,,西条市,"試しの鎖, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=黒川山(#425); candidate=summit-candidate:109bc31ba8b3aa15; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
425,黒川山,summit-candidate:5771cdd191c3861d,yamap_2023-10-22_06_44.gpx,二ノ岳・高森,1351.1733333333334,1365,13.83,0.439,6,4,0.1285,false,false,low,high,high,resolve_conflict,exact_municipality_match,西条市,,西条市,"東之川, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=黒川山(#425); candidate=summit-candidate:5771cdd191c3861d; ref_score=0.439; ref_rank=6; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
425,黒川山,summit-candidate:01f601a63b1874f6,yamap_2025-04-19_07_10.gpx,小屋山・丸石山,1371.8433333333335,1365,6.84,0.3105,7,8,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,西条市,,,"内子町, 喜多郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=黒川山(#425); candidate=summit-candidate:01f601a63b1874f6; ref_score=0.3105; ref_rank=7; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
425,黒川山,summit-candidate:09c1602c02ce7f78,yamap_2024-04-07_06_45.gpx,二箆山・西雑誌山,1357.4633333333334,1365,7.54,0.3105,8,8,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,西条市,,,"久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=黒川山(#425); candidate=summit-candidate:09c1602c02ce7f78; ref_score=0.3105; ref_rank=8; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
