source_gpx_basename,track_name,mountain_count_in_group,summit_candidate_count_in_group,top1_link_count,conflict_count,mountain_names,summit_candidate_ids,suggested_review_order,notes
yamap_2024-10-05_06_40.gpx,銅山峰・西山・三の森・二の森・一の森,33,2,4,18,鍵山（象ヶ森）|西山|源氏ヶ駄場（薊野峰）|寒川山|赤星山|平石山|出石山|黒滝山|五葉が森|音無山|打越山|猿越山|銅山峰|西山|三の森|二の森|一の森|コクゾ峰|大野山|水なし山|貝渚山|五段城|三ッ森山|三つ足山|大森山|佐々連尾山|高森山|呉石山|大森山|棟山|星ヶ森|草屋敷|大熊山,summit-candidate:0dea5d073885dc9d|summit-candidate:057580d1c60049b6,87,mountains=33; candidates=2; conflicts=18
yamap_2022-12-12_08_41.gpx,遠ヶ森,18,1,2,18,高森山|経座ヶ森|水梨山|泉ガ森|遠ヶ森|扇山|木久ヶ森|羽子山|滝山|五十崎神南山|笠成山|大森山|四本松|峰畑山|水無権現|秋葉山|黒山|扇山,summit-candidate:02fa4cfab6fa90d3,88,mountains=18; candidates=1; conflicts=18
yamap_2023-09-06_13_30.gpx,冠岳,18,1,3,18,源氏ヶ駄場（薊野峰）|西ノ冠岳|東山|東山|冠岳|高森|狼ヶ城山|黒岩山|大野山|正木ノ森|黒川山|別子山|佐々連尾山|東ノ冠岳|天満山|大森山|三ヶ森|扇山,summit-candidate:b73a23fa4b3abc39,89,mountains=18; candidates=1; conflicts=18
yamap_2026-03-08_07_27.gpx,呉石山,18,1,2,18,鍵山（象ヶ森）|寒川山|平石山|出石山|黒滝山|五葉が森|音無山|打越山|一の森|コクゾ峰|高森山|呉石山|峰畑山|白木山|棟山|星ヶ森|草屋敷|大熊山,summit-candidate:784df3690acb5365,90,mountains=18; candidates=1; conflicts=18
yamap_2022-10-08_06_12.gpx,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,22,4,5,17,堂ヶ森|自念子ノ頭|東山|前赤石山|権現山|黒岳|エビラ山|二ッ岳|東山|西赤石山|物住頭|東赤石山|八巻山|八辻ノ峰|五代ヶ森|黒森山|沓掛山|平家平|子持権現山|鶴ノ子ノ頭|前社ヶ森|剣山,summit-candidate:2b7cce23b57844a5|summit-candidate:5104c47f17101d63|summit-candidate:61a5956a49a7ace2|summit-candidate:e2bdd25969c7f122,91,mountains=22; candidates=4; conflicts=17
yamap_2026-01-25_07_43.gpx,船ヶ迫岳・鎌倉山,19,2,2,17,岩伽羅山|ケタ山|大磨山|杉立山|向山|十門山(十門城址)|三滝山|白石山|足山|新谷神南山|御在所山|黒岩岳|船ヶ迫岳|鎌倉山|牛の峰|大畑山|登議城山|感応寺山|水無権現,summit-candidate:4a22801b12460992|summit-candidate:ce7fc6697696cde7,92,mountains=19; candidates=2; conflicts=17
yamap_2025-10-11_06_24.gpx,大森山・佐々連尾山・三つ足山,18,2,4,17,源氏ヶ駄場（薊野峰）|赤星山|石墨山|綱繰山|大森山|猿越山|西山|足山|大野山|水なし山|貝渚山|五段城|三ッ森山|三つ足山|大森山|佐々連尾山|大森山|大森山,summit-candidate:565ba3761956d9b3|summit-candidate:a80dd0489247a839,93,mountains=18; candidates=2; conflicts=17
yamap_2022-11-14_13_02.gpx,出石山,17,1,2,17,鍵山（象ヶ森）|寒川山|平石山|出石山|黒滝山|五葉が森|音無山|一の森|高土の峰|コクゾ峰|大判山|高森山|呉石山|大野山|棟山|星ヶ森|草屋敷,summit-candidate:615a70cf4401199b,94,mountains=17; candidates=1; conflicts=17
yamap_2026-01-07_07_05.gpx,御在所山,17,1,2,17,ケタ山|大磨山|杉立山|向山|十門山(十門城址)|三滝山|御在所山|白石山|足山|新谷神南山|御在所山|高雄山|鎌倉山|牛の峰|大畑山|登議城山|感応寺山,summit-candidate:17c3649ad9b147ce,95,mountains=17; candidates=1; conflicts=17
yamap_2026-01-18_06_03.gpx,大判山,17,1,2,17,鍵山（象ヶ森）|寒川山|出石山|黒滝山|観音森|観音岳|岩屋山|浄心山|銅が鳴|高土の峰|大判山|竜王の峰|高森山|鎧掛山|大野山|棟山|星ヶ森,summit-candidate:fa9a4432fbf76027,96,mountains=17; candidates=1; conflicts=17
