mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
1,関ヶ森,summit-candidate:a0c35720552a78c8,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0122_yamap_2022-01-15_08_17.md,summit-candidate:a0c35720552a78c8|summit-candidate:c284068144ec2cfd|summit-candidate:cb62a56e70cedbce,gpx_group_0122|summit_candidate_0291|summit_candidate_0446|summit_candidate_0235|mountain_001,location_stability_review_packets
2,観音山,summit-candidate:cb62a56e70cedbce,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,八幡浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0122_yamap_2022-01-15_08_17.md,summit-candidate:cb62a56e70cedbce|summit-candidate:0022a746b396d4c7|summit-candidate:13b7a4bb8154974a,gpx_group_0122|summit_candidate_0235|summit_candidate_0375|summit_candidate_0063|mountain_002,location_stability_review_packets
3,高森山,summit-candidate:e7ae682a07af2e10,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:e7ae682a07af2e10|summit-candidate:d03c84134ca0989d|summit-candidate:b3cf76c035511afe,gpx_group_0002|summit_candidate_0043|summit_candidate_0038|summit_candidate_0297|mountain_003,location_stability_review_packets
4,岩伽羅山,summit-candidate:e7ae682a07af2e10,0.69,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:e7ae682a07af2e10|summit-candidate:d03c84134ca0989d|summit-candidate:a94564816fd4afff,gpx_group_0002|summit_candidate_0043|summit_candidate_0038|summit_candidate_0225|mountain_004,location_stability_review_packets
5,衣掛山,summit-candidate:d03c84134ca0989d,0.67,medium,boundary_plausible,adjacent_municipality,東温市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:d03c84134ca0989d|summit-candidate:e7ae682a07af2e10|summit-candidate:7880c9d0de83468b,gpx_group_0002|summit_candidate_0038|summit_candidate_0043|summit_candidate_0170|mountain_005,location_stability_review_packets
6,吉山(吉山城址),summit-candidate:d03c84134ca0989d,0.73,medium,boundary_plausible,adjacent_municipality,東温市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0002_yamap_2022-01-22_09_04.md,summit-candidate:d03c84134ca0989d|summit-candidate:e7ae682a07af2e10|summit-candidate:d456af62868c5044,gpx_group_0002|summit_candidate_0038|summit_candidate_0043|summit_candidate_0239|mountain_006,location_stability_review_packets
7,尾ノ峰,summit-candidate:36e3ac8003e8b5d0,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:36e3ac8003e8b5d0|summit-candidate:d6b806525709cc22|summit-candidate:ac7a1ebef52ea30c,gpx_group_0014|summit_candidate_0124|summit_candidate_0241|summit_candidate_0176|mountain_007,location_stability_review_packets
8,新城山,summit-candidate:ac7a1ebef52ea30c,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:ac7a1ebef52ea30c|summit-candidate:36e3ac8003e8b5d0|summit-candidate:d6b806525709cc22,gpx_group_0014|summit_candidate_0176|summit_candidate_0124|summit_candidate_0241|mountain_008,location_stability_review_packets
9,腰折山,summit-candidate:d6b806525709cc22,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:d6b806525709cc22|summit-candidate:36e3ac8003e8b5d0|summit-candidate:40260be41579ab8f,gpx_group_0014|summit_candidate_0241|summit_candidate_0124|summit_candidate_0050|mountain_009,location_stability_review_packets
10,恵良山,summit-candidate:40260be41579ab8f,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,松山市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0014_yamap_2022-01-28_12_28.md,summit-candidate:40260be41579ab8f|summit-candidate:36e3ac8003e8b5d0|summit-candidate:ac7a1ebef52ea30c,gpx_group_0014|summit_candidate_0050|summit_candidate_0124|summit_candidate_0176|mountain_010,location_stability_review_packets
11,皿ヶ森,summit-candidate:59c561a08189d6b9,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0060_yamap_2022-01-29_08_35.md,summit-candidate:59c561a08189d6b9|summit-candidate:7c532ef1be71a4d1|summit-candidate:8e8035372e25eb9d,gpx_group_0060|summit_candidate_0085|summit_candidate_0410|summit_candidate_0438|mountain_011,location_stability_review_packets
12,経座ヶ森,summit-candidate:59c561a08189d6b9,0.67,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0060_yamap_2022-01-29_08_35.md,summit-candidate:59c561a08189d6b9|summit-candidate:7c532ef1be71a4d1|summit-candidate:e7ae682a07af2e10,gpx_group_0060|summit_candidate_0085|summit_candidate_0410|summit_candidate_0043|mountain_012,location_stability_review_packets
13,谷上山,summit-candidate:0eff3d1ea2b48d73,0.85,medium,boundary_plausible,adjacent_municipality,伊予市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0001_yamap_2022-02-06_08_26.md,summit-candidate:0eff3d1ea2b48d73|summit-candidate:2c817617699a0a45|summit-candidate:c94d8d76133fda1a,gpx_group_0001|summit_candidate_0040|summit_candidate_0372|summit_candidate_0423|mountain_013,location_stability_review_packets
14,権現山,summit-candidate:0eff3d1ea2b48d73,0.79,medium,boundary_plausible,adjacent_municipality,伊予市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0001_yamap_2022-02-06_08_26.md,summit-candidate:0eff3d1ea2b48d73|summit-candidate:2c817617699a0a45|summit-candidate:ea5f711625df386b,gpx_group_0001|summit_candidate_0040|summit_candidate_0372|summit_candidate_0317|mountain_014,location_stability_review_packets
15,白滝山,summit-candidate:ea5f711625df386b,0.75,medium,location_uncertain_keep,candidate_boundary_ambiguous,,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0001_yamap_2022-02-06_08_26.md,summit-candidate:ea5f711625df386b|summit-candidate:0eff3d1ea2b48d73|summit-candidate:2c817617699a0a45,gpx_group_0001|summit_candidate_0317|summit_candidate_0040|summit_candidate_0372|mountain_015,location_stability_review_packets
16,障子山,summit-candidate:a0ef25e9a532b62e,0.68,medium,location_uncertain_keep,candidate_boundary_ambiguous,,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0001_yamap_2022-02-06_08_26.md,summit-candidate:a0ef25e9a532b62e|summit-candidate:0eff3d1ea2b48d73|summit-candidate:2c817617699a0a45,gpx_group_0001|summit_candidate_0094|summit_candidate_0040|summit_candidate_0372|mountain_016,location_stability_review_packets
17,伽藍山,summit-candidate:da46e12c02d47edf,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,伊方町,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0133_yamap_2022-02-09_10_01.md,summit-candidate:da46e12c02d47edf|summit-candidate:40d5b4863907057a|summit-candidate:f3bf8b21a01f29ef,gpx_group_0133|summit_candidate_0310|summit_candidate_0385|summit_candidate_0249|mountain_017,location_stability_review_packets
18,塩ヶ森,summit-candidate:0c210f0edfbda06f,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,西予市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0059_yamap_2022-02-11_08_26.md,summit-candidate:0c210f0edfbda06f|summit-candidate:24dc6cf37ce4e715|summit-candidate:a637fbc518f58ac5,gpx_group_0059|summit_candidate_0189|summit_candidate_0047|summit_candidate_0224|mountain_018,location_stability_review_packets
19,番駄ヶ森,summit-candidate:a637fbc518f58ac5,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0059_yamap_2022-02-11_08_26.md,summit-candidate:a637fbc518f58ac5|summit-candidate:24dc6cf37ce4e715|summit-candidate:d4dc6f2bbe1f994f,gpx_group_0059|summit_candidate_0224|summit_candidate_0047|summit_candidate_0424|mountain_019,location_stability_review_packets
20,ケタ山,summit-candidate:24dc6cf37ce4e715,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,四国中央市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0059_yamap_2022-02-11_08_26.md,summit-candidate:24dc6cf37ce4e715|summit-candidate:d4dc6f2bbe1f994f|summit-candidate:0c210f0edfbda06f,gpx_group_0059|summit_candidate_0047|summit_candidate_0424|summit_candidate_0189|mountain_020,location_stability_review_packets
21,大磨山,summit-candidate:24dc6cf37ce4e715,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,四国中央市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0059_yamap_2022-02-11_08_26.md,summit-candidate:24dc6cf37ce4e715|summit-candidate:d4dc6f2bbe1f994f|summit-candidate:a637fbc518f58ac5,gpx_group_0059|summit_candidate_0047|summit_candidate_0424|summit_candidate_0224|mountain_021,location_stability_review_packets
22,鍵山（象ヶ森）,summit-candidate:c2491268ea5645b7,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0059_yamap_2022-02-11_08_26.md,summit-candidate:c2491268ea5645b7|summit-candidate:0c210f0edfbda06f|summit-candidate:24dc6cf37ce4e715,gpx_group_0059|summit_candidate_0302|summit_candidate_0189|summit_candidate_0047|mountain_022,location_stability_review_packets
23,天神山,summit-candidate:543b4550a3ef3e87,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0134_yamap_2022-02-15_10_36.md,summit-candidate:543b4550a3ef3e87|summit-candidate:5aff666aa93b3a17|summit-candidate:5e94c87cc5fcc87b,gpx_group_0134|summit_candidate_0203|summit_candidate_0042|summit_candidate_0379|mountain_023,location_stability_review_packets
24,御幸寺山,summit-candidate:e4808690532bb46c,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0134_yamap_2022-02-15_10_36.md,summit-candidate:e4808690532bb46c|summit-candidate:543b4550a3ef3e87|summit-candidate:084fa7c9e55252dc,gpx_group_0134|summit_candidate_0362|summit_candidate_0203|summit_candidate_0017|mountain_024,location_stability_review_packets
25,愛宕山,summit-candidate:d9391b001d4bc442,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0018_yamap_2022-02-16_11_57.md,summit-candidate:d9391b001d4bc442|summit-candidate:22b4a5a5c856bf4d|summit-candidate:45f49d8fd831427c,gpx_group_0018|summit_candidate_0112|summit_candidate_0383|summit_candidate_0011|mountain_025,location_stability_review_packets
26,常光寺山,summit-candidate:d9391b001d4bc442,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0018_yamap_2022-02-16_11_57.md,summit-candidate:d9391b001d4bc442|summit-candidate:22b4a5a5c856bf4d|summit-candidate:8178723bbadb1c72,gpx_group_0018|summit_candidate_0112|summit_candidate_0383|summit_candidate_0134|mountain_026,location_stability_review_packets
27,杉立山,summit-candidate:17c3649ad9b147ce,0.33,low,location_uncertain_keep,candidate_boundary_ambiguous,,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0088_yamap_2026-01-07_07_05.md,summit-candidate:17c3649ad9b147ce|summit-candidate:ce7fc6697696cde7|summit-candidate:a94564816fd4afff,gpx_group_0088|summit_candidate_0045|summit_candidate_0400|summit_candidate_0225|mountain_027,location_stability_review_packets
28,岩柄山,summit-candidate:7d7066baad9d7077,0.5,low,municipality_incompatible_strong,non_adjacent_municipality,松山市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0065_yamap_2022-03-03_10_47.md,summit-candidate:7d7066baad9d7077|summit-candidate:cb62a56e70cedbce|summit-candidate:32c1cf967ab82dbe,gpx_group_0065|summit_candidate_0090|summit_candidate_0235|summit_candidate_0067|mountain_028,location_stability_review_packets
29,高山,summit-candidate:8ff6361109e5ed5c,0.67,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0107_yamap_2025-03-20_08_27.md,summit-candidate:8ff6361109e5ed5c|summit-candidate:98457196a66e294d|summit-candidate:c9aa57cdeb1b49fa,gpx_group_0107|summit_candidate_0148|summit_candidate_0218|summit_candidate_0470|mountain_029,location_stability_review_packets
30,勝岡山,summit-candidate:43911aa413390192,0.5,low,municipality_incompatible_strong,non_adjacent_municipality,松山市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0056_yamap_2022-06-29_08_48.md,summit-candidate:43911aa413390192|summit-candidate:7749b785ef007c1a|summit-candidate:0eff3d1ea2b48d73,gpx_group_0056|summit_candidate_0105|summit_candidate_0169|summit_candidate_0040|mountain_030,location_stability_review_packets
31,西山,summit-candidate:bdfa250c89c1ca90,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0004_yamap_2022-02-23_08_42.md,summit-candidate:bdfa250c89c1ca90|summit-candidate:23c112538ef91e0d|summit-candidate:006436491de34784,gpx_group_0004|summit_candidate_0059|summit_candidate_0029|summit_candidate_0013|mountain_031,location_stability_review_packets
32,岩子山,summit-candidate:23c112538ef91e0d,0.79,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0004_yamap_2022-02-23_08_42.md,summit-candidate:23c112538ef91e0d|summit-candidate:bdfa250c89c1ca90|summit-candidate:45f49d8fd831427c,gpx_group_0004|summit_candidate_0029|summit_candidate_0059|summit_candidate_0011|mountain_032,location_stability_review_packets
33,経ヶ森,summit-candidate:23c112538ef91e0d,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0004_yamap_2022-02-23_08_42.md,summit-candidate:23c112538ef91e0d|summit-candidate:bdfa250c89c1ca90|summit-candidate:36e3ac8003e8b5d0,gpx_group_0004|summit_candidate_0029|summit_candidate_0059|summit_candidate_0124|mountain_033,location_stability_review_packets
34,護摩ヶ森,summit-candidate:bdfa250c89c1ca90,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0004_yamap_2022-02-23_08_42.md,summit-candidate:bdfa250c89c1ca90|summit-candidate:23c112538ef91e0d|summit-candidate:047b9599ec28c6ad,gpx_group_0004|summit_candidate_0059|summit_candidate_0029|summit_candidate_0120|mountain_034,location_stability_review_packets
35,御岳山,summit-candidate:54cf4155ab259d9d,0.85,medium,location_uncertain_keep,non_adjacent_municipality,東温市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0043_yamap_2022-02-26_07_43.md,summit-candidate:54cf4155ab259d9d|summit-candidate:80fb4ff56016a4dd|summit-candidate:62d2811f5d1a9f29,gpx_group_0043|summit_candidate_0053|summit_candidate_0436|summit_candidate_0055|mountain_035,location_stability_review_packets
36,石槌山,summit-candidate:54cf4155ab259d9d,0.67,medium,location_uncertain_keep,non_adjacent_municipality,東温市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0043_yamap_2022-02-26_07_43.md,summit-candidate:54cf4155ab259d9d|summit-candidate:80fb4ff56016a4dd|summit-candidate:8251283605282249,gpx_group_0043|summit_candidate_0053|summit_candidate_0436|summit_candidate_0171|mountain_036,location_stability_review_packets
37,日王山,summit-candidate:2011a6c909945d6f,0.5,low,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0013_yamap_2026-04-12_11_03.md,summit-candidate:2011a6c909945d6f|summit-candidate:22b4a5a5c856bf4d|summit-candidate:45f49d8fd831427c,gpx_group_0013|summit_candidate_0080|summit_candidate_0383|summit_candidate_0011|mountain_037,location_stability_review_packets
38,重茂山,summit-candidate:fbd725fc8006e2c8,0.67,medium,boundary_plausible,adjacent_municipality,今治市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0062_yamap_2022-02-28_13_13.md,summit-candidate:fbd725fc8006e2c8|summit-candidate:468c5bbccd8aba53|summit-candidate:bcc05b721653749f,gpx_group_0062|summit_candidate_0099|summit_candidate_0118|summit_candidate_0177|mountain_038,location_stability_review_packets
39,花木山,summit-candidate:fbd725fc8006e2c8,0.85,medium,boundary_plausible,adjacent_municipality,今治市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0062_yamap_2022-02-28_13_13.md,summit-candidate:fbd725fc8006e2c8|summit-candidate:02d59cd1260af017|summit-candidate:93b30125fa1dcd57,gpx_group_0062|summit_candidate_0099|summit_candidate_0034|summit_candidate_0216|mountain_039,location_stability_review_packets
40,ヌタノサコ,summit-candidate:7d7066baad9d7077,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0065_yamap_2022-03-03_10_47.md,summit-candidate:7d7066baad9d7077|summit-candidate:0ec3be2fa2295b82|summit-candidate:ea33d870d4700a56,gpx_group_0065|summit_candidate_0090|summit_candidate_0429|summit_candidate_0316|mountain_040,location_stability_review_packets
41,城山,summit-candidate:c1f175d0616be696,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,砥部町,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0108_yamap_2022-03-05_09_44.md,summit-candidate:c1f175d0616be696|summit-candidate:9cc74b44e1289236|summit-candidate:c8607e1f03bb5db1,gpx_group_0108|summit_candidate_0354|summit_candidate_0368|summit_candidate_0369|mountain_041,location_stability_review_packets
42,水梨山,summit-candidate:0a765b89058b256b,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,砥部町,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0108_yamap_2022-03-05_09_44.md,summit-candidate:0a765b89058b256b|summit-candidate:07834c521328cc1d|summit-candidate:cf1e11202c4f4280,gpx_group_0108|summit_candidate_0188|summit_candidate_0137|summit_candidate_0449|mountain_042,location_stability_review_packets
43,向山,summit-candidate:07834c521328cc1d,0.79,medium,boundary_plausible,adjacent_municipality,砥部町,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0108_yamap_2022-03-05_09_44.md,summit-candidate:07834c521328cc1d|summit-candidate:cf1e11202c4f4280|summit-candidate:0a765b89058b256b,gpx_group_0108|summit_candidate_0137|summit_candidate_0449|summit_candidate_0188|mountain_043,location_stability_review_packets
44,稔山,summit-candidate:622b899de76208ef,0.85,medium,boundary_plausible,adjacent_municipality,東温市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0117_yamap_2022-03-09_10_20.md,summit-candidate:622b899de76208ef|summit-candidate:d1269170b687c5bc|summit-candidate:555fd1e3be8780dd,gpx_group_0117|summit_candidate_0271|summit_candidate_0308|summit_candidate_0204|mountain_044,location_stability_review_packets
45,菊ヶ森,summit-candidate:ab8cf0f07d2a219d,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0152_yamap_2022-03-12_08_31.md,summit-candidate:ab8cf0f07d2a219d|summit-candidate:7c680b0eed0187fa|summit-candidate:3259dfe3d9ce60c5,gpx_group_0152|summit_candidate_0175|summit_candidate_0278|summit_candidate_0048|mountain_045,location_stability_review_packets
46,道後山,summit-candidate:7c680b0eed0187fa,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0180_yamap_2022-03-12_09_19.md,summit-candidate:7c680b0eed0187fa|summit-candidate:ab8cf0f07d2a219d|summit-candidate:82d3009a6c1b2511,gpx_group_0180|summit_candidate_0278|summit_candidate_0175|summit_candidate_0091|mountain_046,location_stability_review_packets
47,倉谷山,summit-candidate:aba609f471e97e4a,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,西予市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0022_yamap_2022-03-13_09_49.md,summit-candidate:aba609f471e97e4a|summit-candidate:feca346909b97b92|summit-candidate:079ae30d76fb11c2,gpx_group_0022|summit_candidate_0349|summit_candidate_0478|summit_candidate_0015|mountain_047,location_stability_review_packets
48,芝ヶ峠,summit-candidate:079ae30d76fb11c2,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0022_yamap_2022-03-13_09_49.md,summit-candidate:079ae30d76fb11c2|summit-candidate:b9e78d4a587ceaa0|summit-candidate:c284068144ec2cfd,gpx_group_0022|summit_candidate_0015|summit_candidate_0418|summit_candidate_0446|mountain_048,location_stability_review_packets
49,大久保山,summit-candidate:5aff666aa93b3a17,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0005_yamap_2022-03-20_07_06.md,summit-candidate:5aff666aa93b3a17|summit-candidate:5e94c87cc5fcc87b|summit-candidate:452c10a1db199870,gpx_group_0005|summit_candidate_0042|summit_candidate_0379|summit_candidate_0006|mountain_049,location_stability_review_packets
50,八里ヶ峠,summit-candidate:5aff666aa93b3a17,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0005_yamap_2022-03-20_07_06.md,summit-candidate:5aff666aa93b3a17|summit-candidate:5e94c87cc5fcc87b|summit-candidate:452c10a1db199870,gpx_group_0005|summit_candidate_0042|summit_candidate_0379|summit_candidate_0006|mountain_050,location_stability_review_packets
51,中坂山,summit-candidate:452c10a1db199870,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0005_yamap_2022-03-20_07_06.md,summit-candidate:452c10a1db199870|summit-candidate:c2c9094225d1da63|summit-candidate:5aff666aa93b3a17,gpx_group_0005|summit_candidate_0006|summit_candidate_0399|summit_candidate_0042|mountain_051,location_stability_review_packets
52,天神山,summit-candidate:452c10a1db199870,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0005_yamap_2022-03-20_07_06.md,summit-candidate:452c10a1db199870|summit-candidate:c2c9094225d1da63|summit-candidate:543b4550a3ef3e87,gpx_group_0005|summit_candidate_0006|summit_candidate_0399|summit_candidate_0203|mountain_052,location_stability_review_packets
53,室岡山,summit-candidate:452c10a1db199870,0.73,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0005_yamap_2022-03-20_07_06.md,summit-candidate:452c10a1db199870|summit-candidate:c2c9094225d1da63|summit-candidate:5aff666aa93b3a17,gpx_group_0005|summit_candidate_0006|summit_candidate_0399|summit_candidate_0042|mountain_053,location_stability_review_packets
54,潮見山,summit-candidate:3259dfe3d9ce60c5,0.79,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0017_yamap_2022-03-23_07_38.md,summit-candidate:3259dfe3d9ce60c5|summit-candidate:452c10a1db199870|summit-candidate:c2c9094225d1da63,gpx_group_0017|summit_candidate_0048|summit_candidate_0006|summit_candidate_0399|mountain_054,location_stability_review_packets
55,明神山,summit-candidate:3259dfe3d9ce60c5,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0017_yamap_2022-03-23_07_38.md,summit-candidate:3259dfe3d9ce60c5|summit-candidate:45439217573adfc4|summit-candidate:fec0bb942061619b,gpx_group_0017|summit_candidate_0048|summit_candidate_0200|summit_candidate_0252|mountain_055,location_stability_review_packets
56,潮見山,summit-candidate:45439217573adfc4,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,松山市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0017_yamap_2022-03-23_07_38.md,summit-candidate:45439217573adfc4|summit-candidate:5aff666aa93b3a17|summit-candidate:5e94c87cc5fcc87b,gpx_group_0017|summit_candidate_0200|summit_candidate_0042|summit_candidate_0379|mountain_056,location_stability_review_packets
57,十門山(十門城址),summit-candidate:a94564816fd4afff,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,東温市,内子町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0115_yamap_2022-03-25_12_12.md,summit-candidate:a94564816fd4afff|summit-candidate:555fd1e3be8780dd|summit-candidate:07834c521328cc1d,gpx_group_0115|summit_candidate_0225|summit_candidate_0204|summit_candidate_0137|mountain_057,location_stability_review_packets
58,ヨソ山,summit-candidate:555fd1e3be8780dd,0.63,medium,adjacent_but_deep_inside,adjacent_municipality,東温市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0115_yamap_2022-03-25_12_12.md,summit-candidate:555fd1e3be8780dd|summit-candidate:7c532ef1be71a4d1|summit-candidate:59c561a08189d6b9,gpx_group_0115|summit_candidate_0204|summit_candidate_0410|summit_candidate_0085|mountain_058,location_stability_review_packets
59,忽那山,summit-candidate:daa8d4127fc92552,0.85,medium,location_strong_match,same_municipality,松山市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0234_yamap_2022-04-06_09_25.md,summit-candidate:daa8d4127fc92552|summit-candidate:5f001ac124f82ef6|summit-candidate:bf2b3499e08da2df,gpx_group_0234|summit_candidate_0311|summit_candidate_0030|summit_candidate_0152|mountain_059,location_stability_review_packets
60,鬼ヶ城山,summit-candidate:7ceb76663c2bb81b,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,宇和島市,西予市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0048_yamap_2022-04-08_09_33.md,summit-candidate:7ceb76663c2bb81b|summit-candidate:27c1036d4aa2230e|summit-candidate:91ebf1d99654d5b2,gpx_group_0048|summit_candidate_0089|summit_candidate_0123|summit_candidate_0414|mountain_060,location_stability_review_packets
