mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
123,三山,summit-candidate:35b464661fa62df9,0.68,medium,location_uncertain_keep,non_adjacent_municipality,上島町,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0028_yamap_2022-09-15_09_20.md,summit-candidate:35b464661fa62df9|summit-candidate:4d0f5f75da9165b8|summit-candidate:507809fc1a4b9e4e,gpx_group_0028|summit_candidate_0032|summit_candidate_0141|summit_candidate_0166|mountain_123,location_stability_review_packets
124,伊勢山,summit-candidate:bd145a45a7d01b99,0.68,medium,location_uncertain_keep,non_adjacent_municipality,上島町,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0201_yamap_2022-09-15_11_02.md,summit-candidate:bd145a45a7d01b99|summit-candidate:35b464661fa62df9|summit-candidate:4d0f5f75da9165b8,gpx_group_0201|summit_candidate_0352|summit_candidate_0032|summit_candidate_0141|mountain_124,location_stability_review_packets
125,久司山,summit-candidate:507809fc1a4b9e4e,0.68,medium,location_uncertain_keep,non_adjacent_municipality,上島町,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0138_yamap_2022-09-15_11_50.md,summit-candidate:507809fc1a4b9e4e|summit-candidate:35b464661fa62df9|summit-candidate:4d0f5f75da9165b8,gpx_group_0138|summit_candidate_0166|summit_candidate_0032|summit_candidate_0141|mountain_125,location_stability_review_packets
126,石灰山,summit-candidate:35b464661fa62df9,0.5,low,location_uncertain_keep,non_adjacent_municipality,上島町,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0028_yamap_2022-09-15_09_20.md,summit-candidate:35b464661fa62df9|summit-candidate:4d0f5f75da9165b8|summit-candidate:507809fc1a4b9e4e,gpx_group_0028|summit_candidate_0032|summit_candidate_0141|summit_candidate_0166|mountain_126,location_stability_review_packets
127,古法皇山,summit-candidate:4d0f5f75da9165b8,0.68,medium,location_uncertain_keep,non_adjacent_municipality,上島町,大洲市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0144_yamap_2022-09-15_12_35.md,summit-candidate:4d0f5f75da9165b8|summit-candidate:35b464661fa62df9|summit-candidate:507809fc1a4b9e4e,gpx_group_0144|summit_candidate_0141|summit_candidate_0032|summit_candidate_0166|mountain_127,location_stability_review_packets
128,狩江権現山,summit-candidate:ef5127a689eaf48a,0.67,medium,municipality_incompatible_strong,non_adjacent_municipality,西予市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0034_yamap_2022-09-20_14_24.md,summit-candidate:ef5127a689eaf48a|summit-candidate:a660f8ef78c69ab0|summit-candidate:8a7a47d167c1aba6,gpx_group_0034|summit_candidate_0076|summit_candidate_0151|summit_candidate_0016|mountain_128,location_stability_review_packets
129,極山,summit-candidate:ef5127a689eaf48a,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,西予市,新居浜市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0034_yamap_2022-09-20_14_24.md,summit-candidate:ef5127a689eaf48a|summit-candidate:51c8bc6a368c422c|summit-candidate:d71483d289d0c575,gpx_group_0034|summit_candidate_0076|summit_candidate_0041|summit_candidate_0154|mountain_129,location_stability_review_packets
130,高文殊山,summit-candidate:3a1a951de82d4254,0.85,medium,municipality_incompatible_strong,non_adjacent_municipality,四国中央市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0182_yamap_2022-09-21_13_09.md,summit-candidate:3a1a951de82d4254|summit-candidate:8cef52d6989a94db|summit-candidate:a14a745323a3d3af,gpx_group_0182|summit_candidate_0263|summit_candidate_0072|summit_candidate_0394|mountain_130,location_stability_review_packets
131,三本榎,summit-candidate:8251283605282249,0.68,medium,missing_location_evidence,missing_mountain_municipality,今治市,,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0195_yamap_2022-09-26_12_07.md,summit-candidate:8251283605282249|summit-candidate:588c967023117267|summit-candidate:0022a746b396d4c7,gpx_group_0195|summit_candidate_0171|summit_candidate_0054|summit_candidate_0375|mountain_131,location_stability_review_packets
132,鏡山,summit-candidate:588c967023117267,0.62,medium,location_uncertain_keep,non_adjacent_municipality,今治市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0046_yamap_2022-09-26_14_04.md,summit-candidate:588c967023117267|summit-candidate:8251283605282249|summit-candidate:45439217573adfc4,gpx_group_0046|summit_candidate_0054|summit_candidate_0171|summit_candidate_0200|mountain_132,location_stability_review_packets
