decision_row_id,mountain_no,mountain_name,suggested_summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,review_bucket,compact_review_priority,review_packet_id,review_packet_path,decision_status,accepted_summit_candidate_id,rejected_summit_candidate_ids,needs_external_map_check,needs_redetection,decision_basis,reviewer_note,reviewed_at,reviewer
dec-0001,1,関ヶ森,summit-candidate:a0c35720552a78c8,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,573.7066666666666,592,18.29,0.7365,accept_candidate_after_map_check,medium,gpx_group_0132,review_packets/gpx_groups/gpx_group_0132_yamap_2022-01-15_08_17.md,pending_review,,,,,,,,
dec-0002,2,観音山,summit-candidate:cb62a56e70cedbce,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,495.64000000000004,518,22.36,0.7365,accept_candidate_after_map_check,medium,gpx_group_0132,review_packets/gpx_groups/gpx_group_0132_yamap_2022-01-15_08_17.md,pending_review,,,,,,,,
dec-0003,3,高森山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,724,4.75,0.7875,resolve_conflict,high,gpx_group_0001,review_packets/gpx_groups/gpx_group_0001_yamap_2022-01-22_09_04.md,pending_review,,,,,,,,
dec-0004,4,岩伽羅山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,696,23.25,0.7365,resolve_conflict,high,gpx_group_0001,review_packets/gpx_groups/gpx_group_0001_yamap_2022-01-22_09_04.md,pending_review,,,,,,,,
dec-0005,5,衣掛山,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,463,156.69,0.6345,resolve_conflict,high,gpx_group_0001,review_packets/gpx_groups/gpx_group_0001_yamap_2022-01-22_09_04.md,pending_review,,,,,,,,
dec-0006,6,吉山(吉山城址),summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,262,44.31,0.6855,resolve_conflict,high,gpx_group_0001,review_packets/gpx_groups/gpx_group_0001_yamap_2022-01-22_09_04.md,pending_review,,,,,,,,
dec-0007,7,尾ノ峰,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,193,2.06,0.7875,accept_candidate_after_map_check,medium,gpx_group_0133,review_packets/gpx_groups/gpx_group_0133_yamap_2022-01-28_12_28.md,pending_review,,,,,,,,
dec-0008,8,新城山,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,161,4.55,0.7875,accept_candidate_after_map_check,medium,gpx_group_0133,review_packets/gpx_groups/gpx_group_0133_yamap_2022-01-28_12_28.md,pending_review,,,,,,,,
dec-0009,9,腰折山,summit-candidate:d6b806525709cc22,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,206.86333333333332,213,6.14,0.7875,accept_candidate_after_map_check,medium,gpx_group_0133,review_packets/gpx_groups/gpx_group_0133_yamap_2022-01-28_12_28.md,pending_review,,,,,,,,
dec-0010,10,恵良山,summit-candidate:40260be41579ab8f,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,299.12666666666667,302,2.87,0.7875,accept_candidate_after_map_check,medium,gpx_group_0133,review_packets/gpx_groups/gpx_group_0133_yamap_2022-01-28_12_28.md,pending_review,,,,,,,,
