mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
28,"岩柄山",summit-candidate:7d7066baad9d7077,0.5,grounding_neutral,,no_evidence,,location_strong_match,0.5,33.8922068,132.8273765,505.8,1.2,none,high,"奥之城山・ヌタノサコ"
29,"高山",summit-candidate:8ff6361109e5ed5c,0.67,grounding_neutral,,no_evidence,,location_strong_match,0.67,33.9651048,132.6367544,121.2,341.8,strong,medium,"高山・大里山・泰ノ山"
30,"勝岡山",summit-candidate:43911aa413390192,0.5,grounding_neutral,,no_evidence,,location_strong_match,0.5,33.9200756,132.807533,449,4,none,high,"横山(横山城址)"
31,"西山",summit-candidate:bdfa250c89c1ca90,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8865639,132.7116504,169,3,strong,medium,"西山・経ヶ森・岩子山・護摩ヶ森"
32,"岩子山",summit-candidate:23c112538ef91e0d,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.8831745,132.7109537,196,15,strong,high,"西山・経ヶ森・岩子山・護摩ヶ森"
33,"経ヶ森",summit-candidate:23c112538ef91e0d,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8831745,132.7109537,196,4.1,strong,medium,"西山・経ヶ森・岩子山・護摩ヶ森"
34,"護摩ヶ森",summit-candidate:bdfa250c89c1ca90,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8865639,132.7116504,169,1,strong,high,"西山・経ヶ森・岩子山・護摩ヶ森"
35,"御岳山",summit-candidate:54cf4155ab259d9d,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.7480679,132.8711955,430.6,7.4,strong,medium,"御岳山"
36,"石槌山",summit-candidate:54cf4155ab259d9d,0.67,grounding_neutral,,no_evidence,,location_strong_match,0.67,33.7480679,132.8711955,430.6,178.6,strong,high,"御岳山"
37,"日王山",summit-candidate:2011a6c909945d6f,0.5,grounding_neutral,,no_evidence,,location_strong_match,0.5,33.8390197,132.7201785,102.9,6.1,none,high,"権現山"
38,"重茂山",summit-candidate:fbd725fc8006e2c8,0.67,grounding_neutral,,no_evidence,,location_strong_match,0.67,34.0752611,132.9233053,50.5,240.5,strong,high,"花木山"
39,"花木山",summit-candidate:fbd725fc8006e2c8,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,34.0752611,132.9233053,50.5,2.5,strong,medium,"花木山"
40,"ヌタノサコ",summit-candidate:7d7066baad9d7077,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8922068,132.8273765,505.8,8.2,strong,medium,"奥之城山・ヌタノサコ"
41,"城山",summit-candidate:c1f175d0616be696,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.6968367,132.7954997,589.9,2.1,strong,medium,"城山・水梨山・向山"
42,"水梨山",summit-candidate:0a765b89058b256b,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.6808914,132.7938736,734.4,5.4,strong,medium,"城山・水梨山・向山"
43,"向山",summit-candidate:07834c521328cc1d,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.6848511,132.7812374,707.8,24.8,strong,high,"城山・水梨山・向山"
44,"稔山",summit-candidate:622b899de76208ef,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8609206,132.9700981,911.1,5.9,strong,medium,"稔山"
45,"菊ヶ森",summit-candidate:ab8cf0f07d2a219d,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.859723,132.8152899,145.7,5.3,strong,medium,"菊ヶ森"
46,"道後山",summit-candidate:7c680b0eed0187fa,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8556124,132.7933144,221.1,2.9,strong,medium,"道後山"
47,"倉谷山",summit-candidate:aba609f471e97e4a,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.837858,132.8256729,405.4,14.6,strong,medium,"倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯"
48,"芝ヶ峠",summit-candidate:079ae30d76fb11c2,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.8265074,132.8167326,280.9,1.2,strong,medium,"倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯"
49,"大久保山",summit-candidate:5aff666aa93b3a17,0.79,grounding_weakened,20910.7,single_cluster_consensus,0.94,location_strong_match,0.85,33.8841169,132.7626522,181.1,6.1,strong,deprioritized,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山"
50,"八里ヶ峠",summit-candidate:5aff666aa93b3a17,0.79,grounding_weakened,16798.9,single_cluster_consensus,0.97,location_strong_match,0.85,33.8841169,132.7626522,181.1,0.9,strong,deprioritized,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山"
51,"中坂山",summit-candidate:452c10a1db199870,0.79,grounding_neutral,,no_coordinates,,location_strong_match,0.79,33.8773459,132.7614769,76.8,21.2,strong,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山"
52,"天神山",summit-candidate:452c10a1db199870,0.73,grounding_weakened,31645.9,single_cluster_consensus,0.93,location_strong_match,0.79,33.8773459,132.7614769,76.8,29.8,strong,deprioritized,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山"
53,"室岡山",summit-candidate:452c10a1db199870,0.67,grounding_weakened,32142.4,single_cluster_consensus,0.95,location_strong_match,0.73,33.8773459,132.7614769,76.8,34.8,strong,deprioritized,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山"
54,"潮見山",summit-candidate:3259dfe3d9ce60c5,0.73,grounding_weakened,21518.8,single_cluster_consensus,0.93,location_strong_match,0.79,33.816673,132.8428244,152.3,29.3,strong,deprioritized,"明神山・潮見山"
