mountain_no,mountain_name,candidate_count_original,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,combined_candidate_score,location_refined_candidate_score,candidate_rank_for_mountain,location_refined_rank_for_mountain,candidate_rank_for_summit_candidate,location_refined_rank_for_summit_candidate,confidence,review_priority,csv_municipality,csv_island,location_refinement_level,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,notes
266,郭公岳,18,summit-candidate:19baf3ce30f8991a,yamap_2024-02-17_05_38.gpx,大黒山・譲ヶ葉森,1021.9555481598042,1010,11.96,0.34,0.439,7,7,5,5,low,high,宇和島市,,exact_municipality_match,宇和島市,"宇和島市, 愛媛県, 798-8601, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,mountain=郭公岳(#266); candidate=summit-candidate:19baf3ce30f8991a; ref_score=0.439; ref_rank=7; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
266,郭公岳,18,summit-candidate:0c2609d9e7e31a00,yamap_2022-10-16_10_19.gpx,楢原山・古権現山・中三方ヶ森,1012.4166666666666,1010,2.42,0.33,0.3105,8,8,14,15,low,high,宇和島市,,boundary_tolerated_mismatch,,"木地奥林道51線, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:0c2609d9e7e31a00; ref_score=0.3105; ref_rank=8; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:0d5802be6f4a6c6e,yamap_2026-03-01_06_45.gpx,剣ノ山・三傍示山・塩塚峰,1012.1166666666668,1010,2.12,0.33,0.3105,9,9,9,9,low,high,宇和島市,,boundary_tolerated_mismatch,,"四国中央市, 愛媛県, 779-5337, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:0d5802be6f4a6c6e; ref_score=0.3105; ref_rank=9; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:a53ed6259e132097,yamap_2024-10-14_04_48.gpx,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,1017.4166666666666,1010,7.42,0.33,0.3105,10,10,10,11,low,high,宇和島市,,boundary_tolerated_mismatch,,"高知自動車道;笹ヶ峰トンネル, 四国中央市, 長岡郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:a53ed6259e132097; ref_score=0.3105; ref_rank=10; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:bcf5d9d5a90e5cda,yamap_2022-10-16_10_19.gpx,楢原山・古権現山・中三方ヶ森,1010.1166666666667,1010,0.12,0.33,0.3105,11,11,14,15,low,high,宇和島市,,boundary_tolerated_mismatch,,"木地奥林道51線, 今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:bcf5d9d5a90e5cda; ref_score=0.3105; ref_rank=11; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:dedadc05e5f6d5d5,yamap_2025-03-23_11_12.gpx,北ヶ森・高土の峰,1008.4066666666666,1010,1.59,0.33,0.3105,12,12,6,7,low,high,宇和島市,,boundary_tolerated_mismatch,,"久万高原町, 上浮穴郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=郭公岳(#266); candidate=summit-candidate:dedadc05e5f6d5d5; ref_score=0.3105; ref_rank=12; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
266,郭公岳,18,summit-candidate:19ab381ef6c337af,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,993.1336935716172,1010,16.87,0.27,0.2595,13,13,23,24,none,high,宇和島市,,boundary_tolerated_mismatch,,"大洲市, 愛媛県, 797-1608, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:19ab381ef6c337af; ref_score=0.2595; ref_rank=13; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:6ba0d3c6b0fb6b96,yamap_2022-04-09_14_44.gpx,大月山・高縄山,981.3100000000001,1010,28.69,0.27,0.2595,14,14,14,14,none,high,宇和島市,,boundary_tolerated_mismatch,,"松山市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:6ba0d3c6b0fb6b96; ref_score=0.2595; ref_rank=14; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:851dc9683d2d7442,yamap_2024-10-14_04_48.gpx,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,1024.2766666666666,1010,14.28,0.27,0.2595,15,15,16,16,none,high,宇和島市,,boundary_tolerated_mismatch,,"高知自動車道;笹ヶ峰トンネル, 四国中央市, 長岡郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:851dc9683d2d7442; ref_score=0.2595; ref_rank=15; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:c58c0ba7145621b9,yamap_2025-01-03_07_19.gpx,壺神山・滝山・足山・皿が森,984.3464928489406,1010,25.65,0.27,0.2595,16,16,15,15,none,high,宇和島市,,boundary_tolerated_mismatch,,"戒川, 大洲市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:c58c0ba7145621b9; ref_score=0.2595; ref_rank=16; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:c7ac7ff98cacc074,yamap_2022-10-16_10_19.gpx,楢原山・古権現山・中三方ヶ森,1037.9733333333334,1010,27.97,0.27,0.2595,17,17,18,20,none,high,宇和島市,,boundary_tolerated_mismatch,,"今治市, 愛媛県, 794-8511, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=郭公岳(#266); candidate=summit-candidate:c7ac7ff98cacc074; ref_score=0.2595; ref_rank=17; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
266,郭公岳,18,summit-candidate:d5a6fcb592162088,yamap_2026-04-29_06_34.gpx,面木山・黒森,981.2133333333335,1010,28.79,0.27,0.2595,18,18,12,13,none,high,宇和島市,,boundary_tolerated_mismatch,,"丹原町鞍瀬, 西条市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch|top_candidate_for_multiple_mountains,"mountain=郭公岳(#266); candidate=summit-candidate:d5a6fcb592162088; ref_score=0.2595; ref_rank=18; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:62351b8782d6f597,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,1191.8999999999999,1181,10.9,0.69,0.7365,1,1,1,1,medium,high,宇和島市,,exact_municipality_match,宇和島市,"滑床林道63支線, 宇和島市, 愛媛県, 798-8601, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,"mountain=東高月山(#267); candidate=summit-candidate:62351b8782d6f597; ref_score=0.7365; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
267,東高月山,21,summit-candidate:3853fbbba7330ec4,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,1010,1181,171,0.5,0.455,5,5,2,2,low,high,宇和島市,,boundary_tolerated_mismatch,,"鬼北町, 北宇和郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,mountain=東高月山(#267); candidate=summit-candidate:3853fbbba7330ec4; ref_score=0.455; ref_rank=5; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
