mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,candidate_center_municipality,mountain_source_municipality,candidate_municipality_stability,location_stability_bucket,municipality_relation,center_distance_to_boundary_m,all_cardinal_1km_same,distance_stable_interior,location_stability_review_priority,review_reason_codes,notes
402,"大迫山",15,summit-candidate:13aa9354da4eb6d6,0.6900,medium,"京の森・大迫山","yamap_2025-03-30_12_56.gpx","","大洲市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,14.236,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=大迫山(#402); candidate=summit-candidate:13aa9354da4eb6d6; track=""京の森・大迫山""; score=0.69; name_tier=strong; ele_diff=13.44m; loc=strong_overlap; act_conf=high"
403,"船山",19,summit-candidate:2a670286f545beb2,0.5000,low,"菊ヶ森・餓鬼ヶ森","yamap_2023-04-09_09_08.gpx","久万高原町","久万高原町",stable_interior,location_strong_match,same_municipality,5012.546,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=船山(#403); candidate=summit-candidate:2a670286f545beb2; track=""菊ヶ森・餓鬼ヶ森""; score=0.4; name_tier=none; ele_diff=0.64m; loc=strong_overlap; act_conf=high"
404,"コクゾ峰",15,summit-candidate:94e39d837730a5c7,0.8500,medium,"コクゾ峰","yamap_2025-04-04_06_19.gpx","砥部町","砥部町",stable_cardinal_1km_same,location_strong_match,same_municipality,869.328,true,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=コクゾ峰(#404); candidate=summit-candidate:94e39d837730a5c7; track=""コクゾ峰""; score=0.75; name_tier=strong; ele_diff=1.36m; loc=strong_overlap; act_conf=high"
405,"加塚山",19,summit-candidate:cdd4a9ba931c816e,0.8500,medium,"加塚山","yamap_2025-04-06_08_48.gpx","宇和島市","宇和島市",near_boundary,location_strong_match,same_municipality,0.113,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=加塚山(#405); candidate=summit-candidate:cdd4a9ba931c816e; track=""加塚山""; score=0.75; name_tier=strong; ele_diff=4.83m; loc=strong_overlap; act_conf=high"
406,"新谷神南山",21,summit-candidate:6342f0069cd164e8,0.8500,medium,"新谷神南山・五十崎神南山","yamap_2025-04-09_06_48.gpx","大洲市","大洲市",stable_interior,location_strong_match,same_municipality,2313.686,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=新谷神南山(#406); candidate=summit-candidate:6342f0069cd164e8; track=""新谷神南山・五十崎神南山""; score=0.75; name_tier=strong; ele_diff=4.76m; loc=strong_overlap; act_conf=high"
407,"五十崎神南山",14,summit-candidate:49147712961a83be,0.6800,medium,"新谷神南山・五十崎神南山","yamap_2025-04-09_06_48.gpx","","大洲市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,2.914,false,false,high,"top_1_but_ambiguous","mountain=五十崎神南山(#407); candidate=summit-candidate:49147712961a83be; track=""新谷神南山・五十崎神南山""; score=0.68; name_tier=strong; ele_diff=1.03m; loc=mismatch_warning; act_conf=high"
408,"笠成山",12,summit-candidate:81081ef1b6e58a79,0.8500,medium,"笠成山","yamap_2025-04-14_05_56.gpx","砥部町","砥部町",stable_interior,location_strong_match,same_municipality,2431.059,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=笠成山(#408); candidate=summit-candidate:81081ef1b6e58a79; track=""笠成山""; score=0.75; name_tier=strong; ele_diff=2m; loc=strong_overlap; act_conf=high"
409,"小屋山",17,summit-candidate:422a9e74717ca96d,0.7500,medium,"小屋山・丸石山","yamap_2025-04-19_07_10.gpx","","西予市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,5.799,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=小屋山(#409); candidate=summit-candidate:422a9e74717ca96d; track=""小屋山・丸石山""; score=0.75; name_tier=strong; ele_diff=2.5m; loc=strong_overlap; act_conf=high"
410,"丸石山",15,summit-candidate:0cc9c1186612ceaa,0.5700,medium,"小屋山・丸石山","yamap_2025-04-19_07_10.gpx","西予市","久万高原町",stable_interior,adjacent_but_deep_inside,adjacent_municipality,1208.462,true,true,low,"adjacent_but_deep_inside","mountain=丸石山(#410); candidate=summit-candidate:0cc9c1186612ceaa; track=""小屋山・丸石山""; score=0.62; name_tier=strong; ele_diff=29.51m; loc=mismatch_warning; act_conf=high"
411,"野地峰",20,summit-candidate:17a471cc45af2c05,0.6800,medium,"野地峰・黒岩山・大野山","yamap_2025-04-27_06_23.gpx","","四国中央市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,6.924,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=野地峰(#411); candidate=summit-candidate:17a471cc45af2c05; track=""野地峰・黒岩山・大野山""; score=0.68; name_tier=strong; ele_diff=8.61m; loc=mismatch_warning; act_conf=high"
412,"黒岩山",19,summit-candidate:e93bba1998d4efb5,0.6800,medium,"野地峰・黒岩山・大野山","yamap_2025-04-27_06_23.gpx","","四国中央市",outside_prefecture,location_uncertain_keep,candidate_outside_prefecture,,false,false,high,"top_1_but_ambiguous","mountain=黒岩山(#412); candidate=summit-candidate:e93bba1998d4efb5; track=""野地峰・黒岩山・大野山""; score=0.68; name_tier=strong; ele_diff=0.03m; loc=mismatch_warning; act_conf=high"
413,"大野山",17,summit-candidate:53bf856dccad5eab,0.7300,medium,"野地峰・黒岩山・大野山","yamap_2025-04-27_06_23.gpx","新居浜市","四国中央市",near_boundary,boundary_plausible,adjacent_municipality,5.402,false,false,high,"top_1_but_ambiguous","mountain=大野山(#413); candidate=summit-candidate:53bf856dccad5eab; track=""野地峰・黒岩山・大野山""; score=0.68; name_tier=strong; ele_diff=2.22m; loc=mismatch_warning; act_conf=high"
414,"水なし山",15,summit-candidate:403c0894babcf279,0.7500,medium,"貝渚山・水なし山","yamap_2025-06-21_08_53.gpx","","久万高原町",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,5.485,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=水なし山(#414); candidate=summit-candidate:403c0894babcf279; track=""貝渚山・水なし山""; score=0.75; name_tier=strong; ele_diff=2.49m; loc=strong_overlap; act_conf=high"
415,"貝渚山",18,summit-candidate:403c0894babcf279,0.6900,medium,"貝渚山・水なし山","yamap_2025-06-21_08_53.gpx","","久万高原町",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,5.485,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=貝渚山(#415); candidate=summit-candidate:403c0894babcf279; track=""貝渚山・水なし山""; score=0.69; name_tier=strong; ele_diff=18.49m; loc=strong_overlap; act_conf=high"
416,"谷崎山",21,summit-candidate:0d157ed871f76807,0.8500,medium,"谷崎山","yamap_2025-07-06_07_10.gpx","西条市","西条市",stable_interior,location_strong_match,same_municipality,1246.627,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=谷崎山(#416); candidate=summit-candidate:0d157ed871f76807; track=""谷崎山""; score=0.75; name_tier=strong; ele_diff=7.8m; loc=strong_overlap; act_conf=high"
417,"東黒森",12,summit-candidate:20f1c44b99e3d708,0.6800,medium,"東黒森","yamap_2025-07-06_09_43.gpx","","西条市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,9.142,false,false,high,"top_1_but_ambiguous","mountain=東黒森(#417); candidate=summit-candidate:20f1c44b99e3d708; track=""東黒森""; score=0.68; name_tier=strong; ele_diff=1.93m; loc=mismatch_warning; act_conf=high"
418,"伊吹山",9,summit-candidate:e79e77da4bfd1f13,0.7500,medium,"伊吹山","yamap_2025-07-06_12_03.gpx","","西条市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,3.951,false,false,high,"top_1_but_ambiguous","mountain=伊吹山(#418); candidate=summit-candidate:e79e77da4bfd1f13; track=""伊吹山""; score=0.75; name_tier=strong; ele_diff=3.66m; loc=strong_overlap; act_conf=high"
419,"小牛城",22,summit-candidate:ba78489e4d448645,0.7500,medium,"小牛城","yamap_2025-08-15_10_51.gpx","","久万高原町",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,12.203,false,false,high,"top_1_but_ambiguous","mountain=小牛城(#419); candidate=summit-candidate:ba78489e4d448645; track=""小牛城""; score=0.75; name_tier=strong; ele_diff=0.58m; loc=strong_overlap; act_conf=high"
