mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,candidate_center_municipality,mountain_source_municipality,candidate_municipality_stability,location_stability_bucket,municipality_relation,center_distance_to_boundary_m,all_cardinal_1km_same,distance_stable_interior,location_stability_review_priority,review_reason_codes,notes
1,"関ヶ森",20,summit-candidate:a0c35720552a78c8,0.7900,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠","yamap_2022-01-15_08_17.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3133.928,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=関ヶ森(#1); candidate=summit-candidate:a0c35720552a78c8; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=18.29m; loc=strong_overlap; act_conf=high"
2,"観音山",25,summit-candidate:cb62a56e70cedbce,0.7900,medium,"関ヶ森・観音山・倉谷山・芝ヶ峠","yamap_2022-01-15_08_17.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3045.958,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=観音山(#2); candidate=summit-candidate:cb62a56e70cedbce; track=""関ヶ森・観音山・倉谷山・芝ヶ峠""; score=0.69; name_tier=strong; ele_diff=22.36m; loc=strong_overlap; act_conf=high"
3,"高森山",25,summit-candidate:e7ae682a07af2e10,0.7500,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","","東温市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,14.039,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=高森山(#3); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.75; name_tier=strong; ele_diff=4.75m; loc=strong_overlap; act_conf=high"
4,"岩伽羅山",13,summit-candidate:e7ae682a07af2e10,0.6900,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","","東温市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,14.039,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=岩伽羅山(#4); candidate=summit-candidate:e7ae682a07af2e10; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.69; name_tier=strong; ele_diff=23.25m; loc=strong_overlap; act_conf=high"
5,"衣掛山",16,summit-candidate:d03c84134ca0989d,0.6700,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,303.237,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=衣掛山(#5); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.57; name_tier=strong; ele_diff=156.69m; loc=strong_overlap; act_conf=high"
6,"吉山(吉山城址)",32,summit-candidate:d03c84134ca0989d,0.7300,medium,"高森山・岩伽羅山・衣掛山・吉山(吉山城址)","yamap_2022-01-22_09_04.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,303.237,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=吉山(吉山城址)(#6); candidate=summit-candidate:d03c84134ca0989d; track=""高森山・岩伽羅山・衣掛山・吉山(吉山城址)""; score=0.63; name_tier=strong; ele_diff=44.31m; loc=strong_overlap; act_conf=high"
7,"尾ノ峰",22,summit-candidate:36e3ac8003e8b5d0,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_cardinal_1km_same,location_strong_match,same_municipality,826.361,true,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=尾ノ峰(#7); candidate=summit-candidate:36e3ac8003e8b5d0; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.06m; loc=strong_overlap; act_conf=high"
8,"新城山",22,summit-candidate:ac7a1ebef52ea30c,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,630.975,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=新城山(#8); candidate=summit-candidate:ac7a1ebef52ea30c; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=4.55m; loc=strong_overlap; act_conf=high"
9,"腰折山",24,summit-candidate:d6b806525709cc22,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1418.668,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=腰折山(#9); candidate=summit-candidate:d6b806525709cc22; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=6.14m; loc=strong_overlap; act_conf=high"
10,"恵良山",28,summit-candidate:40260be41579ab8f,0.8500,medium,"尾ノ峰・新城山・腰折山・恵良山","yamap_2022-01-28_12_28.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1910.308,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=恵良山(#10); candidate=summit-candidate:40260be41579ab8f; track=""尾ノ峰・新城山・腰折山・恵良山""; score=0.75; name_tier=strong; ele_diff=2.87m; loc=strong_overlap; act_conf=high"
11,"皿ヶ森",21,summit-candidate:59c561a08189d6b9,0.8500,medium,"皿ヶ森・経座ヶ森・ヨソ山","yamap_2022-01-29_08_35.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,3031.159,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=皿ヶ森(#11); candidate=summit-candidate:59c561a08189d6b9; track=""皿ヶ森・経座ヶ森・ヨソ山""; score=0.75; name_tier=strong; ele_diff=2.76m; loc=strong_overlap; act_conf=high"
12,"経座ヶ森",14,summit-candidate:59c561a08189d6b9,0.6700,medium,"皿ヶ森・経座ヶ森・ヨソ山","yamap_2022-01-29_08_35.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,3031.159,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=経座ヶ森(#12); candidate=summit-candidate:59c561a08189d6b9; track=""皿ヶ森・経座ヶ森・ヨソ山""; score=0.57; name_tier=strong; ele_diff=104.76m; loc=strong_overlap; act_conf=high"
13,"谷上山",22,summit-candidate:0eff3d1ea2b48d73,0.8500,medium,"谷上山・権現山・白滝山・障子山","yamap_2022-02-06_08_26.gpx","伊予市","伊予市",near_boundary,location_strong_match,same_municipality,458.681,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=谷上山(#13); candidate=summit-candidate:0eff3d1ea2b48d73; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=1.9m; loc=strong_overlap; act_conf=high"
14,"権現山",47,summit-candidate:2c817617699a0a45,0.7500,medium,"谷上山・権現山・白滝山・障子山","yamap_2022-02-06_08_26.gpx","","伊予市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,8.053,false,false,medium,"top_3_with_evidence","mountain=権現山(#14); candidate=summit-candidate:2c817617699a0a45; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=6.21m; loc=strong_overlap; act_conf=high"
15,"白滝山",19,summit-candidate:ea5f711625df386b,0.7500,medium,"谷上山・権現山・白滝山・障子山","yamap_2022-02-06_08_26.gpx","","伊予市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,6.268,false,false,high,"top_1_but_ambiguous","mountain=白滝山(#15); candidate=summit-candidate:ea5f711625df386b; track=""谷上山・権現山・白滝山・障子山""; score=0.75; name_tier=strong; ele_diff=6.26m; loc=strong_overlap; act_conf=high"
16,"障子山",19,summit-candidate:a0ef25e9a532b62e,0.6800,medium,"谷上山・権現山・白滝山・障子山","yamap_2022-02-06_08_26.gpx","","伊予市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,0.44,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=障子山(#16); candidate=summit-candidate:a0ef25e9a532b62e; track=""谷上山・権現山・白滝山・障子山""; score=0.68; name_tier=strong; ele_diff=3.5m; loc=mismatch_warning; act_conf=high"
17,"伽藍山",29,summit-candidate:da46e12c02d47edf,0.8500,medium,"佐田岬と伽藍山","yamap_2022-02-09_10_01.gpx","伊方町","伊方町",stable_interior,location_strong_match,same_municipality,1107.077,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=伽藍山(#17); candidate=summit-candidate:da46e12c02d47edf; track=""佐田岬と伽藍山""; score=0.75; name_tier=strong; ele_diff=0.26m; loc=strong_overlap; act_conf=high"
18,"塩ヶ森",18,summit-candidate:0c210f0edfbda06f,0.8500,medium,"塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","yamap_2022-02-11_08_26.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,5064.405,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=塩ヶ森(#18); candidate=summit-candidate:0c210f0edfbda06f; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=3.32m; loc=strong_overlap; act_conf=high"
19,"番駄ヶ森",26,summit-candidate:a637fbc518f58ac5,0.8500,medium,"塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","yamap_2022-02-11_08_26.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,4643.905,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=番駄ヶ森(#19); candidate=summit-candidate:a637fbc518f58ac5; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=4.2m; loc=strong_overlap; act_conf=high"
20,"ケタ山",19,summit-candidate:24dc6cf37ce4e715,0.7900,medium,"塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","yamap_2022-02-11_08_26.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,4258.772,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=ケタ山(#20); candidate=summit-candidate:24dc6cf37ce4e715; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.69; name_tier=strong; ele_diff=12.52m; loc=strong_overlap; act_conf=high"
21,"大磨山",24,summit-candidate:24dc6cf37ce4e715,0.8500,medium,"塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","yamap_2022-02-11_08_26.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,4258.772,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=大磨山(#21); candidate=summit-candidate:24dc6cf37ce4e715; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=1.52m; loc=strong_overlap; act_conf=high"
22,"鍵山（象ヶ森）",19,summit-candidate:c2491268ea5645b7,0.8500,medium,"塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）","yamap_2022-02-11_08_26.gpx","東温市","東温市",stable_interior,location_strong_match,same_municipality,2479.848,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=鍵山（象ヶ森）(#22); candidate=summit-candidate:c2491268ea5645b7; track=""塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）""; score=0.75; name_tier=strong; ele_diff=2.44m; loc=strong_overlap; act_conf=high"
23,"天神山",23,summit-candidate:543b4550a3ef3e87,0.8500,medium,"天神山・御幸寺山","yamap_2022-02-15_10_36.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,4678.627,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=天神山(#23); candidate=summit-candidate:543b4550a3ef3e87; track=""天神山・御幸寺山""; score=0.75; name_tier=strong; ele_diff=4.89m; loc=strong_overlap; act_conf=high"
24,"御幸寺山",18,summit-candidate:e4808690532bb46c,0.8500,medium,"天神山・御幸寺山","yamap_2022-02-15_10_36.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,5093.1,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=御幸寺山(#24); candidate=summit-candidate:e4808690532bb46c; track=""天神山・御幸寺山""; score=0.75; name_tier=strong; ele_diff=6.3m; loc=strong_overlap; act_conf=high"
25,"愛宕山",27,summit-candidate:d9391b001d4bc442,0.8500,medium,"愛宕山・常光寺山","yamap_2022-02-16_11_57.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,6040.804,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=愛宕山(#25); candidate=summit-candidate:d9391b001d4bc442; track=""愛宕山・常光寺山""; score=0.75; name_tier=strong; ele_diff=5.82m; loc=strong_overlap; act_conf=high"
26,"常光寺山",26,summit-candidate:d9391b001d4bc442,0.8500,medium,"愛宕山・常光寺山","yamap_2022-02-16_11_57.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,6040.804,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=常光寺山(#26); candidate=summit-candidate:d9391b001d4bc442; track=""愛宕山・常光寺山""; score=0.75; name_tier=strong; ele_diff=3.18m; loc=strong_overlap; act_conf=high"
27,"杉立山",16,summit-candidate:17c3649ad9b147ce,0.3300,low,"御在所山","yamap_2026-01-07_07_05.gpx","","松山市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,0.907,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=杉立山(#27); candidate=summit-candidate:17c3649ad9b147ce; track=""御在所山""; score=0.33; name_tier=none; ele_diff=3.82m; loc=mismatch_warning; act_conf=high"
28,"岩柄山",16,summit-candidate:7d7066baad9d7077,0.5000,low,"奥之城山・ヌタノサコ","yamap_2022-03-03_10_47.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,5239.155,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=岩柄山(#28); candidate=summit-candidate:7d7066baad9d7077; track=""奥之城山・ヌタノサコ""; score=0.4; name_tier=none; ele_diff=1.22m; loc=strong_overlap; act_conf=high"
29,"高山",22,summit-candidate:8ff6361109e5ed5c,0.6700,medium,"高山・大里山・泰ノ山","yamap_2025-03-20_08_27.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,490.253,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=高山(#29); candidate=summit-candidate:8ff6361109e5ed5c; track=""高山・大里山・泰ノ山""; score=0.57; name_tier=strong; ele_diff=341.83m; loc=strong_overlap; act_conf=high"
30,"勝岡山",18,summit-candidate:43911aa413390192,0.5000,low,"横山(横山城址)","yamap_2022-06-29_08_48.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,4419.226,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=勝岡山(#30); candidate=summit-candidate:43911aa413390192; track=""横山(横山城址)""; score=0.4; name_tier=none; ele_diff=3.97m; loc=strong_overlap; act_conf=high"
31,"西山",27,summit-candidate:bdfa250c89c1ca90,0.8500,medium,"西山・経ヶ森・岩子山・護摩ヶ森","yamap_2022-02-23_08_42.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,680.55,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=西山(#31); candidate=summit-candidate:bdfa250c89c1ca90; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=3.02m; loc=strong_overlap; act_conf=high"
32,"岩子山",23,summit-candidate:23c112538ef91e0d,0.7900,medium,"西山・経ヶ森・岩子山・護摩ヶ森","yamap_2022-02-23_08_42.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,868.443,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=岩子山(#32); candidate=summit-candidate:23c112538ef91e0d; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.69; name_tier=strong; ele_diff=14.95m; loc=strong_overlap; act_conf=high"
33,"経ヶ森",21,summit-candidate:23c112538ef91e0d,0.8500,medium,"西山・経ヶ森・岩子山・護摩ヶ森","yamap_2022-02-23_08_42.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,868.443,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=経ヶ森(#33); candidate=summit-candidate:23c112538ef91e0d; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=4.05m; loc=strong_overlap; act_conf=high"
34,"護摩ヶ森",23,summit-candidate:bdfa250c89c1ca90,0.8500,medium,"西山・経ヶ森・岩子山・護摩ヶ森","yamap_2022-02-23_08_42.gpx","松山市","松山市",near_boundary,location_strong_match,same_municipality,680.55,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=護摩ヶ森(#34); candidate=summit-candidate:bdfa250c89c1ca90; track=""西山・経ヶ森・岩子山・護摩ヶ森""; score=0.75; name_tier=strong; ele_diff=1.02m; loc=strong_overlap; act_conf=high"
35,"御岳山",24,summit-candidate:54cf4155ab259d9d,0.8500,medium,"御岳山","yamap_2022-02-26_07_43.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,768.073,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=御岳山(#35); candidate=summit-candidate:54cf4155ab259d9d; track=""御岳山""; score=0.75; name_tier=strong; ele_diff=7.4m; loc=strong_overlap; act_conf=high"
36,"石槌山",27,summit-candidate:54cf4155ab259d9d,0.6700,medium,"御岳山","yamap_2022-02-26_07_43.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,768.073,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=石槌山(#36); candidate=summit-candidate:54cf4155ab259d9d; track=""御岳山""; score=0.57; name_tier=strong; ele_diff=178.6m; loc=strong_overlap; act_conf=high"
37,"日王山",25,summit-candidate:2011a6c909945d6f,0.5000,low,"権現山","yamap_2026-04-12_11_03.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1788.516,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=日王山(#37); candidate=summit-candidate:2011a6c909945d6f; track=""権現山""; score=0.4; name_tier=none; ele_diff=6.13m; loc=strong_overlap; act_conf=high"
38,"重茂山",27,summit-candidate:fbd725fc8006e2c8,0.6700,medium,"花木山","yamap_2022-02-28_13_13.gpx","今治市","今治市",near_boundary,location_strong_match,same_municipality,125.768,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=重茂山(#38); candidate=summit-candidate:fbd725fc8006e2c8; track=""花木山""; score=0.57; name_tier=strong; ele_diff=240.51m; loc=strong_overlap; act_conf=high"
39,"花木山",14,summit-candidate:fbd725fc8006e2c8,0.8500,medium,"花木山","yamap_2022-02-28_13_13.gpx","今治市","今治市",near_boundary,location_strong_match,same_municipality,125.768,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=花木山(#39); candidate=summit-candidate:fbd725fc8006e2c8; track=""花木山""; score=0.75; name_tier=strong; ele_diff=2.51m; loc=strong_overlap; act_conf=high"
40,"ヌタノサコ",18,summit-candidate:7d7066baad9d7077,0.8500,medium,"奥之城山・ヌタノサコ","yamap_2022-03-03_10_47.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,5239.155,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=ヌタノサコ(#40); candidate=summit-candidate:7d7066baad9d7077; track=""奥之城山・ヌタノサコ""; score=0.75; name_tier=strong; ele_diff=8.22m; loc=strong_overlap; act_conf=high"
41,"城山",47,summit-candidate:c1f175d0616be696,0.8500,medium,"城山・水梨山・向山","yamap_2022-03-05_09_44.gpx","砥部町","砥部町",stable_interior,location_strong_match,same_municipality,1542.882,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=城山(#41); candidate=summit-candidate:c1f175d0616be696; track=""城山・水梨山・向山""; score=0.75; name_tier=strong; ele_diff=2.13m; loc=strong_overlap; act_conf=high"
42,"水梨山",14,summit-candidate:0a765b89058b256b,0.8500,medium,"城山・水梨山・向山","yamap_2022-03-05_09_44.gpx","砥部町","砥部町",stable_interior,location_strong_match,same_municipality,1090.163,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=水梨山(#42); candidate=summit-candidate:0a765b89058b256b; track=""城山・水梨山・向山""; score=0.75; name_tier=strong; ele_diff=5.42m; loc=strong_overlap; act_conf=high"
43,"向山",14,summit-candidate:07834c521328cc1d,0.7900,medium,"城山・水梨山・向山","yamap_2022-03-05_09_44.gpx","砥部町","砥部町",near_boundary,location_strong_match,same_municipality,303.936,false,false,high,"top_1_but_ambiguous","mountain=向山(#43); candidate=summit-candidate:07834c521328cc1d; track=""城山・水梨山・向山""; score=0.69; name_tier=strong; ele_diff=24.76m; loc=strong_overlap; act_conf=high"
44,"稔山",21,summit-candidate:622b899de76208ef,0.8500,medium,"稔山","yamap_2022-03-09_10_20.gpx","東温市","東温市",near_boundary,location_strong_match,same_municipality,53.641,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=稔山(#44); candidate=summit-candidate:622b899de76208ef; track=""稔山""; score=0.75; name_tier=strong; ele_diff=5.92m; loc=strong_overlap; act_conf=high"
45,"菊ヶ森",21,summit-candidate:ab8cf0f07d2a219d,0.8500,medium,"菊ヶ森","yamap_2022-03-12_08_31.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,5615.729,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=菊ヶ森(#45); candidate=summit-candidate:ab8cf0f07d2a219d; track=""菊ヶ森""; score=0.75; name_tier=strong; ele_diff=5.34m; loc=strong_overlap; act_conf=high"
46,"道後山",26,summit-candidate:7c680b0eed0187fa,0.8500,medium,"道後山","yamap_2022-03-12_09_19.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,6722.667,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=道後山(#46); candidate=summit-candidate:7c680b0eed0187fa; track=""道後山""; score=0.75; name_tier=strong; ele_diff=2.9m; loc=strong_overlap; act_conf=high"
47,"倉谷山",30,summit-candidate:aba609f471e97e4a,0.7900,medium,"倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯","yamap_2022-03-13_09_49.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,4250.644,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=倉谷山(#47); candidate=summit-candidate:aba609f471e97e4a; track=""倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯""; score=0.69; name_tier=strong; ele_diff=14.6m; loc=strong_overlap; act_conf=high"
48,"芝ヶ峠",30,summit-candidate:079ae30d76fb11c2,0.8500,medium,"倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯","yamap_2022-03-13_09_49.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3103.812,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=芝ヶ峠(#48); candidate=summit-candidate:079ae30d76fb11c2; track=""倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯""; score=0.75; name_tier=strong; ele_diff=1.15m; loc=strong_overlap; act_conf=high"
49,"大久保山",26,summit-candidate:5aff666aa93b3a17,0.8500,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山","yamap_2022-03-20_07_06.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,2787.805,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=大久保山(#49); candidate=summit-candidate:5aff666aa93b3a17; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.75; name_tier=strong; ele_diff=6.12m; loc=strong_overlap; act_conf=high"
50,"八里ヶ峠",23,summit-candidate:5aff666aa93b3a17,0.8500,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山","yamap_2022-03-20_07_06.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,2787.805,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=八里ヶ峠(#50); candidate=summit-candidate:5aff666aa93b3a17; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.75; name_tier=strong; ele_diff=0.88m; loc=strong_overlap; act_conf=high"
51,"中坂山",24,summit-candidate:452c10a1db199870,0.7900,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山","yamap_2022-03-20_07_06.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3408.943,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=中坂山(#51); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.69; name_tier=strong; ele_diff=21.17m; loc=strong_overlap; act_conf=high"
52,"天神山",19,summit-candidate:452c10a1db199870,0.7900,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山","yamap_2022-03-20_07_06.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3408.943,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=天神山(#52); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.69; name_tier=strong; ele_diff=29.83m; loc=strong_overlap; act_conf=high"
53,"室岡山",17,summit-candidate:452c10a1db199870,0.7300,medium,"大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山","yamap_2022-03-20_07_06.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,3408.943,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=室岡山(#53); candidate=summit-candidate:452c10a1db199870; track=""大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山""; score=0.63; name_tier=strong; ele_diff=34.83m; loc=strong_overlap; act_conf=high"
54,"潮見山",31,summit-candidate:3259dfe3d9ce60c5,0.7900,medium,"明神山・潮見山","yamap_2022-03-23_07_38.gpx","松山市","松山市",stable_interior,location_strong_match,same_municipality,1802.528,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=潮見山(#54); candidate=summit-candidate:3259dfe3d9ce60c5; track=""明神山・潮見山""; score=0.69; name_tier=strong; ele_diff=29.25m; loc=strong_overlap; act_conf=high"
