No,山名,標高,登頂回数,YAMAP link,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
66,東三方ヶ森,"1,233",1,https://yamap.com/activities/16678030,,東温市,2022,〇,4月,,〇,〇,〇,,☆,★
67,甲が森,451,1,https://yamap.com/activities/16788269,,西予市,2022,,4月,,,,,,,
68,三滝山,642,1,https://yamap.com/activities/16791907,,西予市,2022,,4月,,,,,,,★
69,雨包山,"1,111",1,https://yamap.com/activities/16791908,,西予市,2022,,4月,,,,〇,,,★
70,源氏ヶ駄場（薊野峰）,"1,403",1,https://yamap.com/activities/16794762,,西予市,2022,,4月,大野ヶ原,〇,〇,〇,★,☆,★
71,碁石ヶ森,"1,183",1,https://yamap.com/activities/16795124,,西予市,2022,,4月,,,,〇,,,
72,伊之子山,872,1,https://yamap.com/activities/16866851,,松山市,2022,,4月,,,,,,,
73,御在所山,915,1,https://yamap.com/activities/16881352,,西予市,2022,〇,4月,,,,,,,
74,岩黒山,"1,746",1,https://yamap.com/activities/16929212,,久万高原町,2022,,4月,,〇,〇,〇,★,☆,★
75,筒上山,"1,860",1,https://yamap.com/activities/16929212,,久万高原町,2022,,4月,,〇,〇,〇,★,☆,★
76,手箱山,"1,806",1,https://yamap.com/activities/16929212,,久万高原町,2022,,4月,高知県,,,〇,,,
77,大川嶺,"1,525",1,https://yamap.com/activities/16982038,,久万高原町,2022,,5月,,〇,〇,〇,★,☆,★
78,笠取山,"1,562",1,https://yamap.com/activities/16982038,,久万高原町,2022,,5月,,〇,〇,〇,,,
79,ウバホド山,"1,482",1,https://yamap.com/activities/16982038,,久万高原町,2022,,5月,,,,〇,,,
80,うなめご,"1,284",1,https://yamap.com/activities/17142799,,東温市,2022,,5月,,〇,,,,,★
81,前々司山,"1,253",1,https://yamap.com/activities/17142799,,東温市,2022,,5月,,,,,,,
